Source Domain,Source Element,Relationship,Target Domain,Target Element,Cardinality,Lifecycle Phase,Procore Join Path,Strength,Description
Financial Instruments,Change Event Line Item,LINKED_TO,Financial Instruments,CCO Line Item,many:many,Construction,"change_event_line_items.commitment_potential_change_order_line_item_id → (CPCO LI table NOT in gold) → commitment_change_order_line_items.commitment_potential_change_order_id",Medium,"40.8% of CE line items link to CPCO line items. CPCO line items table not in gold layer limits direct tracing."
Financial Instruments,Direct Cost,COSTS_AGAINST,Financial Instruments,Budget Line Item,many:many,Construction,"direct_cost_line_items.wbs_code_id → wbs_codes → budget_line_items",High,"Direct costs charge against budget lines but bypass commitment/invoice workflow."
Financial Instruments,Direct Cost,CONTAINS,Financial Instruments,Direct Cost Line Item,1:many,Construction,"direct_cost_line_items.direct_cost_id → direct_costs.direct_cost_id",High,"Direct cost line items provide cost-code-level granularity for non-commitment expenses."
Financial Instruments,Owner Invoice / Pay Application,BILLED_AGAINST,Financial Instruments,Commitment (Subcontract),many:1,Construction / Closeout,"owner_invoices → commitment billing (SOV-based)",High,"Pay applications bill against prime contract. Sub invoices bill against commitments."
Financial Instruments,Subcontractor Invoice,BILLED_AGAINST,Financial Instruments,Commitment (Subcontract),many:1,Construction / Closeout,"subcontractor_invoices.commitment_id → commitments.commitment_id",High,"Each sub invoice bills against a specific commitment for work completed that period."
Financial Instruments,Lien Waiver,FOLLOWS,Financial Instruments,Payment,many:1,Construction / Closeout,"payments_lien_waivers → payments",High,"Lien waivers exchanged with each payment cycle. Required for final payment."
Financial Instruments,Owner Change Order (Prime Contract CO),ADJUSTS,Contracts & Procurement,Prime Contract,many:1,Construction,"prime_contract_change_orders.prime_contract_id",Medium,"Owner COs modify the prime contract value. Revenue side of change management."
Financial Instruments,Cost Code,MAPS_TO,Standards & Classifications,MasterFormat,many:1,All,"cost_codes.code (first 2 digits = MasterFormat division prefix)",High,"Cost code → MasterFormat division is the primary cross-company cost normalization path."
Financial Instruments,Cost Code,MAPS_TO,Building Elements,All Building Systems,many:many,All,"cost_codes.code prefix: 02→Site & Earthwork, 03→Foundations, 05→Structural Frame, 07→Roofing, 09→Interiors, 14→Elevators, 22→Plumbing, 23→HVAC, 26→Electrical, 33→Site Utilities",High,"MasterFormat division prefixes on cost codes map directly to building system categories."
Financial Instruments,WBS Code,CLASSIFIED_AS,Financial Instruments,Cost Code,many:1,All,"wbs_codes.cost_code_id → cost_codes.cost_code_id",High,"WBS codes contain a cost_code_id that provides the building system mapping key."
"--- PRIORITY 2: FIELD-TO-FINANCIAL BRIDGE — how field records connect to money ---",,,,,,,,,,
Documents & Communications,Request for Information (RFI),BECOMES,Financial Instruments,Change Event (CE),many:many,Construction,"change_events.origin_type = 'Rfi::Header' AND change_events.origin_id = rfis.rfi_header_id",High,"RFIs become CEs when cost impact is confirmed. 307K CEs linked to RFIs."
Documents & Communications,Request for Information (RFI),CLASSIFIED_AS,Building Elements,All Building Systems,many:1,Construction,"rfis.predicted_topic → 176 ML-classified topics mapping to building systems",High,"predicted_topic is the strongest structured signal for RFI-to-building-system classification. Zero NLP needed."
Documents & Communications,Request for Information (RFI),REFERENCES,Documents & Communications,Drawing Sheet,many:many,All,"rfis.drawing_number → drawing_revision.number",Medium,"RFIs reference specific drawing sheets for clarification."
Documents & Communications,Request for Information (RFI),ASSIGNED_TO,Organizations,Architect of Record (AOR),many:1,Construction,"rfis.assignees / rfis.responsible_contractor → project_vendors / project_role_memberships",High,"RFIs assigned to design team members for response. Ball-in-court tracking."
Documents & Communications,Request for Information (RFI),RESPONDS_TO,Documents & Communications,RFI Response,1:many,Construction,"rfi_responses.rfi_id → rfis.rfi_header_id",High,"Each RFI has one or more responses tracked with text, responder, and official status."
Quality & Safety Records,Observation,ORIGINATED_FROM,Financial Instruments,Change Event (CE),many:1,Construction,"change_events.origin_type = 'Observations::Item' AND change_events.origin_id → observation_id",Medium,"Observations generate CEs when they reveal cost-impacting conditions. 20,238 CEs via this path."
Quality & Safety Records,Observation,LEADS,Quality & Safety Records,Punch Item,many:many,Construction / Closeout,"Statistical — observations 28-day lead time before rework costs; 1.98x multiplier",High,"Observations are leading indicators of downstream punch items and rework. Validated in insight #1."
Quality & Safety Records,Observation,ASSIGNED_TO,Organizations,Subcontractor (Trade-Specific),many:1,Construction,"observation.vendor_id → project_vendors.vendor_id (80% populated)",High,"Observations assigned to responsible vendors for corrective action."
Quality & Safety Records,Observation,CLASSIFIED_AS,Standards & Classifications,OSHA Hazard Categories,many:1,Construction,"observation.hazard_name (OSHA-aligned taxonomy: Fall, Struck By, Electrical, etc.)",High,"Safety observations classified by structured OSHA hazard taxonomy. 16 types with 50+ cos each."
Quality & Safety Records,Observation,LOCATED_AT,Locations,Room / Space,many:1,Construction,"observation.location_id → locations.location_id",Medium,"Observations reference specific project locations for spatial quality analysis."
Quality & Safety Records,Observation,MAPS_TO,Building Elements,All Building Systems,many:many,Construction,"observation.name keyword clustering → 18 issue categories → building systems",Medium,"Keyword clustering on observation.name maps to building systems (43% clustering rate)."
Quality & Safety Records,Punch Item,ASSIGNED_TO,Organizations,Subcontractor (Trade-Specific),many:1,Closeout,"punch_item.vendor_id → project_vendors.vendor_id",High,"Punch items assigned to responsible vendors for correction before acceptance."
Quality & Safety Records,Punch Item,MAPS_TO,Building Elements,All Building Systems,many:many,Closeout,"punch_item.name keyword clustering → 18 issue categories → building systems (74% clustering rate)",High,"Punch item name clustering is the strongest field-to-system mapping. Paint/Finish #1 universally."
Quality & Safety Records,Punch Item,LOCATED_AT,Locations,Room / Space,many:1,Closeout,"punch_item.location_id → locations.location_id",Medium,"Punch items reference specific locations for spatial closeout tracking."
Quality & Safety Records,Inspection,CONTAINS,Quality & Safety Records,Inspection Item,1:many,Construction,"inspection_items.inspection_id → inspections.inspection_id",High,"Inspections contain checklist items. Deficiency rate 2-6% across 5,470 cos."
Quality & Safety Records,Inspection Item,VIOLATES,Standards & Classifications,International Building Code (IBC),many:many,Construction,"inspection_items.status = 'Deficient' → spec/code deviation",Medium,"Deficient inspection items indicate code or specification non-conformance."
Quality & Safety Records,Incident,CONTAINS,Quality & Safety Records,Incident Record,1:many,Construction,"incident_record.incident_id → incident.incident_id",High,"One incident may have multiple records (injuries, damage, environmental release)."
Quality & Safety Records,Incident,TRIGGERS,Quality & Safety Records,Corrective Action / Incident Action,1:many,Construction,"incident_action.incident_id → incident.incident_id",High,"Incidents trigger required corrective actions. Only 1.2% of observations have linked actions."
Quality & Safety Records,Coordination Issue,LINKED_TO,Documents & Communications,Request for Information (RFI),many:1,Construction,"coordination_issue.rfi_header_id → rfis.rfi_header_id (4,967 linked across 204 cos)",Medium,"Coordination issues link to RFIs when design clarification is needed. Bridge to financial impact."
Quality & Safety Records,Coordination Issue (Design-Related),BECOMES,Financial Instruments,Change Event (CE),many:many,Construction,"coordination_issue.rfi_header_id → rfis → change_events.origin_type = 'Rfi::Header'",Medium,"Design coordination issues → RFI → CE chain traces design problems to cost impact."
Field Operations,Delay Log Entry,TRIGGERED_BY,Resources,All Materials,many:many,Construction,"daily_log_delay.delay_type = 'Material' (84K records, 4,351 cos, structured enum)",High,"Material delays are a structured signal — zero NLP needed. Primary signal for material shortage detection."
Field Operations,Delay Log Entry,IMPACTS,Schedule,Detail Activity,many:many,Construction,"daily_log_delay → schedule impact (inferred via date overlap with schedule activities)",Medium,"Delays impact schedule activities. Duration field (median 5.0 days for Material) quantifies impact."
Field Operations,Daily Log Note,DOCUMENTS,Quality & Safety Records,Observation,many:many,Construction,"Conceptual — daily_log_note.comment keywords correlate with observation findings",Low,"Daily log notes provide narrative context. NLP keywords (rework, shortage) supplement structured data."
Field Operations,Scheduled Work Log Entry,LINKED_TO,Schedule,Detail Activity,many:1,Construction,"daily_log_scheduled_work_task.schedule_task_id → schedule_task.schedule_task_id",High,"Procore's native field-to-schedule linkage. showed boolean = plan-vs-actual. No P6 equivalent."
Field Operations,Manpower Log Entry,PERFORMED_BY,Resources,All Trades,many:1,Construction,"daily_log_manpower.trade_name (direct trade identifier)",High,"trade_name is the most direct trade signal in Procore. Keyword normalization to canonical trades needed."
Field Operations,Equipment Log Entry,REQUIRES,Resources,All Equipment,many:1,Construction,"daily_log_equipment.equipment_name (free text, keyword classification to 12 types)",Medium,"Equipment names are free text requiring keyword classification into canonical equipment types."
Field Operations,Delivery Log Entry,CONSUMES,Resources,All Materials,many:1,Construction,"daily_log_delivery.contents (free text describing delivered materials)",Medium,"Delivery contents describe materials received on site. Free text — keyword matching needed."
Field Operations,Weather Log Entry,TRIGGERED_BY,Field Operations,Delay Log Entry,many:many,Construction,"daily_log_observed_weather_condition.is_weather_delay (boolean)",High,"Weather conditions trigger delay events. is_weather_delay is the primary weather-delay boolean."
Documents & Communications,Submittal,SPECIFIES,Resources,All Materials,many:1,Procurement,"submittals.title (product/material description — strongest material signal in Procore)",High,"Submittal titles describe specific products. Every specified material requires a submittal."
Documents & Communications,Submittal,REFERENCES,Documents & Communications,Specification Section,many:1,Procurement,"submittals.specification_section_id → specification_sections.specification_section_id",Medium,"Submittals organized by spec section. Adoption depends on whether team enters spec sections."
Documents & Communications,Submittal,PRECEDES,Resources,All Materials,many:1,Procurement,"Submittal approval → procurement release → material fabrication/delivery",High,"Approved submittals trigger procurement. Overdue submittals → material delays."
Documents & Communications,Submittal,LEADS,Field Operations,Delay Log Entry,many:many,Procurement / Construction,"submittals.overdue = true → downstream material delays (statistical)",Medium,"718K overdue submittals. Overdue submittals are a leading indicator of material delays."
"--- PRIORITY 3: DOCUMENT AND CLASSIFICATION WEB ---",,,,,,,,,,
Documents & Communications,Drawing Revision,VERSIONED_AS,Documents & Communications,Drawing Sheet,many:1,All,"drawing_revision.drawing_id → drawings (revision tracking per sheet)",High,"Drawing revisions track successive versions of each sheet. current flag identifies latest."
Documents & Communications,Drawing Revision,SUPERSEDES,Documents & Communications,Drawing Revision,1:1,All,"drawing_revision.revision (sequential — newer supersedes older)",High,"Each revision supersedes the prior version. Revision clouds highlight changes."
Documents & Communications,Specification Section,GOVERNS,Resources,All Materials,1:many,Preconstruction / Procurement,"specification_sections.section_number → MasterFormat division → material requirements",Medium,"Spec sections define what materials must be. Part 2 (Products) specifies exact requirements."
Documents & Communications,Specification Section,MAPS_TO,Standards & Classifications,MasterFormat,many:1,Preconstruction,"specification_sections.section_number (first 2 digits = MasterFormat division)",High,"Spec sections organized by MasterFormat. Division 05 12 00 = Structural Steel Framing."
Documents & Communications,Correspondence,ASSIGNED_TO,Roles,Project Manager,many:1,All,"correspondences.assignees → project_role_memberships",Medium,"Correspondence assigned to responsible parties for response via configurable types."
Documents & Communications,Meeting,CONTAINS,Documents & Communications,Meeting Minutes / Meeting Item,1:many,All,"meeting_item.meeting_id → meeting.meeting_id",High,"Meetings contain agenda/action items. Items carry forward across meetings."
Documents & Communications,Meeting Minutes / Meeting Item,ASSIGNED_TO,Roles,All Roles,many:1,All,"meeting_item_assignee.meeting_item_id → meeting_item",High,"Meeting action items assigned to specific people for follow-up."
Documents & Communications,Action Plan,CONTAINS,Documents & Communications,Action Plan Line Item (Task),1:many,Construction / Closeout,"action_plan_line_item.action_plan_id → action_plan.action_plan_id",High,"Action plans contain individually tracked tasks with assignees and due dates."
Documents & Communications,Action Plan Line Item (Task),LINKED_TO,Quality & Safety Records,Observation,many:1,Construction / Closeout,"action_plan_line_item_record → observation (cross-reference to source issue)",High,"Action plan tasks link back to source observations, punch items, or incidents."
Documents & Communications,Action Plan Line Item (Task),LINKED_TO,Quality & Safety Records,Punch Item,many:1,Closeout,"action_plan_line_item_record → punch_item (cross-reference to source issue)",High,"Action plan tasks created from punch items for structured closeout remediation."
Documents & Communications,Photo,ATTACHED_TO,Quality & Safety Records,Observation,many:1,Construction,"photo attachment → observation (via attachment tables)",High,"Photos are the visual evidence layer for observations. Very high volume."
Documents & Communications,Photo,ATTACHED_TO,Quality & Safety Records,Punch Item,many:1,Closeout,"photo attachment → punch_item (via attachment tables)",High,"Punch item photos document deficiencies for trade correction."
Documents & Communications,Photo,ATTACHED_TO,Field Operations,Daily Log (Header),many:1,Construction,"photo attachment → daily_log (via daily log note attachments)",High,"Daily log photos document site conditions and progress."
Documents & Communications,Photo,LOCATED_AT,Locations,All Location Levels,many:1,Construction,"photo.location_id → locations.location_id",Medium,"Photos can be geotagged to specific project locations."
Standards & Classifications,MasterFormat,MAPS_TO,Building Elements,All Building Systems,1:many,All,"MasterFormat division prefix → building system (02→Site, 03→Foundations, 05→Structure, etc.)",High,"MasterFormat is the Rosetta Stone — primary bridge from financial data to building systems."
Standards & Classifications,UniFormat,MAPS_TO,Building Elements,All Building Systems,1:many,All,"UniFormat category → building system (B→Shell, C→Interiors, D→Services)",Medium,"UniFormat provides systems-level classification. Less adopted than MasterFormat in Procore."
Standards & Classifications,OSHA Hazard Categories,CLASSIFIES,Quality & Safety Records,Safety Observation,1:many,Construction,"observation.hazard_name (Fall, Struck By, Electrical, Caught In/Between, etc.)",High,"16 OSHA-aligned hazard types with 50+ cos each. Structured taxonomy — zero NLP needed."
Standards & Classifications,Specification Section,GOVERNS,Documents & Communications,Submittal,1:many,Procurement,"submittals.specification_section_id → specification_sections",Medium,"Spec sections define submittal requirements. Each submittal maps to a spec section."
"--- PRIORITY 4: RESPONSIBILITY AND ORGANIZATION ---",,,,,,,,,,
Organizations,General Contractor (GC),MANAGES,All Domains,Project,1:many,All,"projects.company_id → companies.company_id",High,"GC is the primary project entity. All project data rolls up to the GC."
Organizations,Subcontractor (Trade-Specific),CONTRACTED_TO,Financial Instruments,Commitment (Subcontract),1:many,Procurement / Construction,"commitments.vendor_id → project_vendors.vendor_id",High,"Subcontractors linked via vendor_id on commitments. Primary financial-to-organizational link."
Organizations,Subcontractor (Trade-Specific),ASSIGNED_TO,Quality & Safety Records,Observation,1:many,Construction,"observation.vendor_id → project_vendors.vendor_id (80% populated)",High,"Vendors responsible for corrective action on observations."
Organizations,Subcontractor (Trade-Specific),ASSIGNED_TO,Quality & Safety Records,Punch Item,1:many,Closeout,"punch_item.vendor_id → project_vendors.vendor_id",High,"Vendors responsible for correcting punch list items."
Organizations,Subcontractor (Trade-Specific),PERFORMED_BY,Field Operations,Manpower Log Entry,1:many,Construction,"daily_log_manpower.vendor_id → project_vendors.vendor_id",High,"Manpower entries track vendor workforce on site daily."
Organizations,Architect of Record (AOR),DESIGNED_BY,Documents & Communications,Drawing Set,1:many,Preconstruction,"project_role_memberships.role_name / group = 'design_team'",High,"Architect creates design documents. role_name or group='design_team' identifies design team members."
Organizations,Architect of Record (AOR),RESPONDS_TO,Documents & Communications,Request for Information (RFI),1:many,Construction,"rfis.assignees → project_role_memberships (design team)",High,"Design team responds to RFIs. Response time is a key metric."
Organizations,MEP Engineer,DESIGNED_BY,Building Elements,HVAC,1:many,Preconstruction,"project_role_memberships.group = 'design_team' (engineering roles)",Medium,"MEP engineers design mechanical, electrical, and plumbing systems."
Organizations,Special Inspection Agency,INSPECTED_BY,Quality & Safety Records,Third-Party / Special Inspection,1:many,Construction,"Conceptual — inspections by third-party agencies. No direct FK to organization.",Medium,"Third-party inspection agencies conduct code-required inspections."
Organizations,Surety / Bonding Company,MITIGATES,Risk,Financial Risk,many:many,Procurement,"vendor_insurances tables track bonding/insurance",Medium,"Surety bonds transfer performance risk. COI compliance tracked via vendor_insurances tables."
Roles,Project Manager,MANAGES,Financial Instruments,Change Event (CE),1:many,Construction,"project_role_memberships.role_name = 'Project Manager' → project_id",High,"PM manages the change management process. Approves CEs, reviews CCOs."
Roles,Project Manager,MANAGES,Quality & Safety Records,Punch Item,1:many,Closeout,"project_role_memberships.role_name = 'Project Manager' → project_id",High,"PM manages punch list closure process."
Roles,Superintendent,MANAGES,Field Operations,Daily Log (Header),1:many,Construction,"project_role_memberships.role_name = 'Superintendent' → daily_log_completion.project_id",High,"Superintendent owns the daily log — the legal record of site activity."
Roles,Safety Manager / Safety Director,MANAGES,Quality & Safety Records,Safety Observation,1:many,Construction,"project_role_memberships.role_name = 'Safety Manager' (47.2% of safety obs projects)",Medium,"Safety managers drive safety observation programs. Not universal coverage."
Roles,Quality Manager / QC Inspector,INSPECTED_BY,Quality & Safety Records,Inspection,1:many,Construction,"inspection_assignees.user_id → users",Medium,"QC inspectors conduct formal inspections against checklists."
Roles,Scheduler / Project Controls Manager,MANAGES,Schedule,Detail Activity,1:many,Construction,"project_role_memberships.role_name → scheduling tools",Medium,"Scheduler maintains CPM schedule. Schedule updates and look-aheads."
Roles,Document Controller,MANAGES,Documents & Communications,Drawing Revision,1:many,All,"Conceptual — document controller manages drawing distribution",Medium,"Document controller ensures field teams have current drawings."
"--- PRIORITY 5: SCHEDULE, SPATIAL, RISK, AND LIFECYCLE ---",,,,,,,,,,
Schedule,Detail Activity,DEPENDS_ON,Schedule,Detail Activity,many:many,Construction,"scheduling_relationship.from_activity / to_activity + dependency_type (FS/SS/FF/SF) + lag",High,"Typed dependencies with lag values. Enables critical path analysis and logic quality checks."
Schedule,Detail Activity,LOCATED_AT,Locations,Floor / Level,many:1,Construction,"scheduling_activity.category_data (JSON) or custom_fields (area/zone)",Medium,"Schedule activities linked to locations via custom fields or category data."
Schedule,Detail Activity,REQUIRES,Resources,All Trades,many:many,Construction,"scheduling_activity.resource_data (JSON), vendor_id, vendor_name",Medium,"New scheduling tool carries resource data including trade/vendor assignment."
Schedule,Detail Activity,COSTS_AGAINST,Financial Instruments,Budget Line Item,many:many,Construction,"scheduling_activity → cost loading via cost_code alignment",Medium,"Cost-loaded schedules map activities to budget lines for earned value tracking."
Schedule,Detail Activity,LINKED_TO,Field Operations,Scheduled Work Task Link,many:1,Construction,"daily_log_scheduled_work_task.schedule_task_id → schedule_task.schedule_task_id",High,"Procore's native field-to-schedule FK. Unique capability."
Schedule,Milestone,DEPENDS_ON,Phases,All Phases,many:1,All,"scheduling_activity.milestone = true → phase-level milestones",High,"Milestones mark phase transitions. Substantial completion, final completion are key milestones."
Schedule,Baseline Schedule,VERSIONED_AS,Schedule,Schedule Update,1:many,All,"scheduling_type.parent_schedule_id (baseline linkage), is_active flag",High,"Schedule updates tracked against baseline. imported_data_date is the data date."
Schedule,Schedule Change Tracking,DOCUMENTS,Schedule,Detail Activity,many:1,Construction,"schedule_task_changes.schedule_task_id → schedule tasks (old/new dates, duration, percentage)",High,"Structured delta tracking with when_at timestamps. Unique audit trail."
Schedule,Look-Ahead Schedule,CONTAINS,Schedule,Detail Activity,1:many,Construction,"schedule_lookahead_task.schedule_task_id → schedule_task (FK to CPM)",High,"Look-ahead tasks link to CPM activities. Separate entity with richer field context."
Locations,Project Site,CONTAINS,Locations,Building,1:many,All,"Location hierarchy: Site→Building→Floor→Zone→Room",High,"Hierarchical spatial decomposition. Level 0→Level 5 nesting."
Locations,Floor / Level,CONTAINS,Locations,Zone / Wing,1:many,Construction,"Location hierarchy: Floor→Zone/Wing→Room/Space",High,"Floor contains zones and rooms. Primary spatial organizing level."
Locations,Floor / Level,CONTAINS,Building Elements,All Building Systems,1:many,Construction,"Building systems installed per floor. MEP rough-in, interiors, finishes are floor-specific.",Medium,"Building elements exist at specific floor levels during vertical construction."
Risk,Design Risk,TRIGGERED_BY,Documents & Communications,Request for Information (RFI),many:many,Construction,"rfis → change_events (cost impact). RFI volume leads change order volume.",High,"Design risk manifests as RFIs that become change events. Validated in insight #31."
Risk,Design Risk,IMPACTS,Financial Instruments,Change Event (CE),many:many,Construction,"change_events.change_reason = 'design_development' (354K CEs, 6,748 cos, $54.8B)",High,"Design changes = 26.4% median of CE cost. Largest single change category."
Risk,Safety Risk,TRIGGERED_BY,Quality & Safety Records,Safety Observation,many:many,Construction,"observation.category = 'Safety' + hazard_name recurrence detection",High,"Safety observations with recurring hazards signal systemic safety risk. Insight #11."
Risk,Supply Chain Risk,TRIGGERED_BY,Field Operations,Delay Log Entry,many:many,Construction,"daily_log_delay.delay_type = 'Material' (84K records, 4,351 cos)",High,"Material delays are structured signal for supply chain risk. Insight: Material Shortage Detection."
Risk,Schedule Risk,TRIGGERED_BY,Schedule,Detail Activity,many:many,Construction,"Float erosion on critical/near-critical activities. scheduling_activity.total_float trending toward 0.",Medium,"Float erosion is a leading schedule risk indicator. Critical path concentration = risk concentration."
Risk,Financial Risk,MITIGATED_BY,Financial Instruments,Contingency,many:1,All,"Contingency burn rate = (contingency used / original) / (% complete). Burn rate > 1.0 = red flag.",Medium,"Contingency reserves mitigate financial risk. Burn rate is a leading indicator of budget distress."
Phases,Preconstruction,PRECEDES,Phases,Procurement,1:1,Preconstruction,"Sequential phase flow: Preconstruction→Procurement→Mobilization→Construction→Closeout",High,"Phases follow a defined sequence. Some overlap (fast-track)."
Phases,Construction (all sub-phases),REQUIRES,Building Elements,All Building Systems,many:many,Construction,"Phase×System activity matrix defines which systems are active during each construction phase",High,"System-resource matrix crossed with phase-system matrix defines full resource picture."
Phases,Contract Closeout,DEPENDS_ON,Quality & Safety Records,Punch Item,1:many,Closeout,"Punch list closure required for substantial completion certificate",High,"Punch list must be closed before owner acceptance. Gate for retainage release."
Phases,Contract Closeout,DEPENDS_ON,Documents & Communications,As-Built Documentation,1:many,Closeout,"As-built drawings required for final completion",High,"As-built documentation is a contractual closeout deliverable."
Workflows & Statuses,Universal Lifecycle Statuses,RESOLVES_TO,Documents & Communications,Request for Information (RFI),many:1,All,"rfis.status (Draft→Open→Closed/Overdue)",High,"RFI follows universal lifecycle. Status transitions drive response time metrics."
Workflows & Statuses,Approval & Review Statuses,APPROVED_AS,Documents & Communications,Submittal,many:1,Procurement,"submittals.status (Approved/Approved as Noted/Revise & Resubmit/Rejected)",High,"Submittal approval workflow gates procurement. Multiple reviewers in approval chain."
Workflows & Statuses,Financial Workflow Stages,APPROVED_AS,Financial Instruments,Commitment Change Order (CCO),many:1,Construction,"commitment_change_orders.status (Draft→Pending→Approved, 96.7%)",High,"CCO approval workflow. 96.7% reach Approved status."
Workflows & Statuses,Field Disposition Statuses,RESOLVES_TO,Quality & Safety Records,Observation,many:1,Construction,"observation.status (Open→In Progress→Ready for Review→Closed)",High,"Observation resolution workflow. Status transitions track remediation progress."
Workflows & Statuses,Field Disposition Statuses,RESOLVES_TO,Quality & Safety Records,Punch Item,many:1,Closeout,"punch_item.workflow_status (Open→In Progress→Ready for Review→Closed/Not Accepted)",High,"Punch item resolution workflow. Not Accepted items restart the cycle."
Models & BIM,3D Building Information Model,REPRESENTS,Building Elements,All Building Systems,1:many,All,"Conceptual — BIM model elements represent physical building systems",High,"BIM models contain digital representations of all building systems."
Models & BIM,Clash Detection Result,CLASHES_WITH,Building Elements,All Building Systems,many:many,Preconstruction / Construction,"coordination_issue.issue_type = 'Clash' → affected systems",Medium,"Clash detection finds spatial conflicts between building system elements."
Models & BIM,Coordination Issue,LINKED_TO,Documents & Communications,Request for Information (RFI),many:1,Construction,"coordination_issue.rfi_header_id → rfis.rfi_header_id",Medium,"4,967 coordination issues linked to RFIs. Bridge from BIM to documents."
