Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
Financial,Contingency Budget,Owner and/or GC contingency allowance at project start — the risk reserve. Owner contingency covers scope changes; GC contingency covers construction risks. How fast contingency burns is a leading indicator of project risk. Separate tracking of owner vs. GC contingency is best practice.,AACE Recommended Practice 40R-08 (Contingency Estimating),"3-10% of contract value (varies by project risk profile: 3% for simple, 10% for complex renovation)",Procore; Sage 300; Viewpoint Vista; CMiC; MS Excel; Owner accounting systems,Low — no dedicated contingency field in most PM systems; tracked in budget line items or custom fields,Contingency utilization rate is a key risk metric — fast burn = project in trouble,Separate owner contingency from GC contingency. Owner contingency covers scope; GC covers construction risk.
Financial,Final Cost at Completion,"Actual total cost when project is complete — includes all change orders, allowance adjustments, and final settlements. The gap between contract value and final cost is the most important financial performance indicator. Only available after project completion.",AACE Recommended Practice 10S-90,$0 – $10B+ (final cost = contract value + all approved changes),Procore; Sage 300; Viewpoint Vista; CMiC; MS Excel; Owner accounting systems,Medium — requires project to be complete and all financial data closed out. Financial module captures final budget vs. committed,Cost growth = (Final - Contract) / Contract — the core financial performance metric,"Only available after project completion. Average cost growth is 4-8% for well-managed projects, 15-25% for poorly managed or complex renovations."
"--- LOCATION: geographic location, climate zone, and seismic characteristics. ---",,,,,,,,
Location,Address,"Street address of the project site — source for all derived geographic attributes. Geocoding converts address to latitude/longitude for distance, climate zone, and cost index calculations. Not directly used in benchmarks but foundational for derived attributes.",None — standard address format,"Street address, city, state, ZIP",Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Aconex; MS Excel,"High — dedicated project address fields, widely populated",Not directly benchmarked — enables derived geographic attributes via geocoding,Source for all derived geographic attributes. Quality of address data varies — some projects use office address instead of site address.
Location,City,"City or municipality where the project is located — enables local market analysis. Labor rates, material costs, and subcontractor availability vary significantly by metro area. City-level benchmarks useful when enough project volume exists within a metro.",None — geographic standard,"Any city name (top metros: New York, Los Angeles, Chicago, Houston, Phoenix, Dallas, etc.)",Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Aconex; MS Excel,"High — dedicated project field, widely populated",Local market analysis — labor rates and material costs vary by metro area,City-level benchmarks useful for large metros with enough project volume. Suburban vs. urban within a metro also matters.
Location,State / Province,"State or province jurisdiction — major benchmarking dimension. State drives labor law (prevailing wage, right-to-work), building code edition, licensing requirements, and tax structure. Top 20 US states cover 80%+ of commercial construction volume.",None — ISO 3166-2,"US states, Canadian provinces, etc.",Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Aconex; MS Excel,"High — dedicated project field, widely populated",Regional benchmarking dimension — top 20 states cover 80%+ of US commercial construction,"State drives prevailing wage, right-to-work, building code edition, and licensing. Major benchmarking dimension."
Location,Country,Country where the project is located — relevant for international benchmarking. Most construction data models are US-centric. International projects require currency normalization and different code/standard references.,ISO 3166-1,"US, Canada, UK, Australia, etc.",Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Aconex; MS Excel,"High — dedicated project field, widely populated",International benchmarking requires currency and standard normalization,Most construction analytics are US-centric. International expansion requires localized cost indices and code frameworks.
Location,ZIP / Postal Code,Postal code of the project site — enables micro-market analysis and cost index application. RS Means and other cost databases use ZIP code for location cost factors. ZIP-level granularity useful for labor market and subcontractor availability analysis.,USPS ZIP Code system; RS Means City Cost Index,Standard postal format (US: 5-digit or ZIP+4),Procore; Sage 300; Viewpoint Vista; CMiC; RS Means; Oracle Aconex; MS Excel,"High — dedicated project field, widely populated. ZIP code enables automated cost index lookup",Enables micro-market analysis and location cost factor application,RS Means and other cost databases index by ZIP. Location cost factors range from 0.7 (rural South) to 1.4 (Manhattan).
Location,Climate Zone,"ASHRAE or IECC climate zone based on project location — drives envelope design, energy code compliance, and expected weather delay days. Zone 1 (hot-humid) to Zone 8 (subarctic) have fundamentally different design and construction requirements. Critical for HVAC and enclosure benchmarking.",ASHRAE Standard 169; IECC Climate Zone Map,"Zone 1A through Zone 8 (ASHRAE 169); Zone 1–8 (IECC). Examples: Miami = 1A, Houston = 2A, Atlanta = 3A, New York = 4A, Chicago = 5A, Minneapolis = 6A","Procore; Sage 300; Viewpoint Vista; CMiC; RS Means; ASHRAE; DOE Climate Zone tools","None — not a standard field in PM systems. Derived from project location (ZIP code or city). Can be calculated automatically from address","Compare energy cost, enclosure design, and weather delay risk by climate zone","Climate zone drives envelope R-value, HVAC sizing, and expected weather delay days. Can be auto-derived from location."
Location,Seismic Design Category,"ASCE 7 seismic classification based on site soil conditions and proximity to faults. Higher SDC = more expensive structure and connections. Significant cost impact in SDC D and above — affects structural design, fire protection (seismic bracing), and MEP (flexible connections).",ASCE 7; IBC Chapter 16,"A (lowest), B, C, D0, D1, D2, E, F (highest). Most of California and Pacific NW = D or higher",Procore; Sage 300; Viewpoint Vista; CMiC; USGS Seismic Hazard Maps; Structural engineering tools,None — not a standard field in PM systems. Derived from site location and soil conditions. Requires geotechnical data or USGS lookup,Compare structural cost premium by seismic design category,SDC D+ adds 5-15% to structural cost. Seismic bracing for MEP is an additional cost often missed in early estimates.
Location,Region,Geographic region for market-level analysis — aggregates state-level data for regional trends. Region definitions vary by organization but should align with labor market and cost index boundaries. Typically 8-10 regions sufficient for US benchmarking.,ENR Regional Cost Data; BLS Regions,"Northeast, Southeast, Midwest, Southwest, Mountain West, Pacific Northwest, Pacific Southwest, Gulf Coast, Mid-Atlantic, Great Plains",Procore; Sage 300; Viewpoint Vista; CMiC; ENR; RS Means; BLS,Low — not typically a standard field; derived from state or ZIP. Custom field when tracked,Aggregates state-level data into regional market trends,Region definitions vary by organization. Should align with labor market boundaries and cost index regions.
"--- SCHEDULE: timeline, duration, and schedule performance attributes. ---",,,,,,,,
Schedule,Planned Start Date,Scheduled construction start date — typically Notice to Proceed (NTP) or mobilization date. The contractual baseline against which all schedule performance is measured. Some owners define this as first day of site work; others use NTP date.,AIA A201; AGC Contract Documents,ISO 8601 date (YYYY-MM-DD),Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Primavera P6; MS Project; MS Excel,"High — dedicated project field (planned start date or target start date), widely populated",Baseline for schedule performance measurement,NTP is most common definition. Variance between planned and actual start captures pre-construction delays.
Schedule,Actual Start Date,"Actual date construction work began on site — may differ from planned start due to permitting, financing, or design delays. The gap between planned and actual start captures pre-construction schedule risk.",None — project-specific,ISO 8601 date (YYYY-MM-DD),Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Primavera P6; MS Project; MS Excel,"High — dedicated project field (actual_start_date), populated when work begins",Schedule performance = Actual Start vs. Planned Start — captures pre-construction delays,"Variance between planned and actual start captures permitting, financing, and design delays."
Schedule,Planned Completion Date,"Contractual substantial completion date — when the owner can occupy the facility. Different from final completion (all punch items done, all contracts closed). Most contracts use substantial completion as the contractual milestone. Liquidated damages typically attach to this date.",AIA A201 (Substantial Completion); ConsensusDocs,ISO 8601 date (YYYY-MM-DD),Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Primavera P6; MS Project; MS Excel,"High — dedicated project field (projected_finish_date or target completion), widely populated",Baseline for schedule growth analysis,"Substantial completion (owner can occupy) vs. final completion (all punch done, all contracts closed). Most contracts use substantial."
Schedule,Actual Completion Date,Actual date of substantial completion — only available when the project reaches that milestone. The gap between contractual and actual completion is the core schedule performance metric. Average schedule growth is 10-20% for well-managed projects.,None — project-specific,ISO 8601 date (YYYY-MM-DD),Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Primavera P6; MS Project; MS Excel,Medium — dedicated project field (actual_completion_date) exists but only populated on completed projects,Schedule growth = (Actual Duration - Planned Duration) / Planned Duration — core schedule metric,Only available when project completes. Average schedule growth is 10-20%. Renovation projects have higher growth.
Schedule,Planned Duration,Contractual construction duration in calendar days from NTP to substantial completion. Industry typically uses calendar days for overall duration (not working days). Excludes pre-construction. Duration is strongly correlated with project type and value band.,PMI PMBOK Schedule Management,"2–60+ months (typical: 6-24 months for commercial, 24-48 for healthcare, 36-60 for infrastructure)",Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Primavera P6; MS Project; MS Excel,Medium — derived from planned start and completion dates. Calendar days vs. working days not always specified,Duration benchmark by project type and value band,Calendar days vs. working days must be specified. Industry uses calendar days for overall duration.
Schedule,Actual Duration,"Actual construction duration from start to substantial completion — compare to planned duration for schedule performance, compare to benchmarks by type/size for relative performance.",None — project-specific,2–60+ months,Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Primavera P6; MS Project; MS Excel,Medium — derived from actual start and completion dates. Only available on completed projects,Duration growth is a key schedule performance metric,Compare to planned for growth. Compare to type/size benchmarks for relative performance.
Schedule,Preconstruction Duration,Time from design authorization to NTP — often ignored but significantly affects construction outcomes. Design-build and CMAR compress this phase. DBB has the longest preconstruction. Longer preconstruction correlates with more complete documents and fewer field changes (to a point).,AIA B101 (Design Services); AGC CMAR Guidelines,"2–24+ months (DBB: 12-24, CMAR: 6-18, DB: 3-12)",Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Primavera P6; Owner systems; MS Excel,Low — not a standard field in PM systems. Requires separate tracking of design phase milestones,Preconstruction efficiency metric — correlates with document quality and field change rate,Design-build compresses preconstruction but shifts risk. Longer preconstruction often means fewer surprises in the field.
Schedule,Season of Start,"Season when construction begins — affects early work scope and weather delay risk. Winter starts in cold climates (ASHRAE zones 5-8) face frozen ground, concrete cold weather protection, and shorter daylight hours. Correlates with higher sitework cost.",None — derived from start date,"Spring (Mar-May), Summer (Jun-Aug), Fall (Sep-Nov), Winter (Dec-Feb)",Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Primavera P6; MS Excel,Medium — derived from actual or planned start date. Not a stored field but easily calculated,Weather risk proxy — winter starts in cold climates have higher delay risk and sitework cost,"Winter starts in climate zones 5-8 face frozen ground, concrete protection, and shorter days. Can be auto-derived from start date."
"--- PROCUREMENT: delivery method, contract type, and procurement approach. How the project is organized, contracted, and bought out. ---",,,,,,,,
Procurement,Delivery Method,Project delivery system defining the design-construction relationship — one of the strongest predictors of project outcomes. DBB separates design and construction (owner bears coordination risk). CMAR/GMP brings the contractor in during design (shared risk). DB puts design and construction under one contract (contractor bears risk). IPD shares risk and reward among all parties.,AIA A201 / A133 / A141; ConsensusDocs; DBIA; AGC Delivery Methods,"Design-Bid-Build (DBB), Construction Manager at Risk (CMAR / GMP), Design-Build (DB), CM as Agent (CMa), Integrated Project Delivery (IPD), Multi-Prime, Progressive Design-Build, Bridging","Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Aconex; MS Excel; Owner capital planning systems","Low — no dedicated delivery method field in most PM systems. Custom field when tracked. Often inferred from contract type","Major benchmarking dimension — delivery method affects cost growth, schedule, and change order rate",CMAR/GMP most common for large commercial. DBB dominant in public. DB growing in infrastructure. IPD rare but lowest change rate.
Procurement,Contract Type,Compensation structure between owner and GC/CM — determines who bears cost risk. GMP: GC bears overrun risk above the guaranteed maximum. Lump Sum: GC bears all cost risk. Cost Plus: owner bears cost risk. Contract type determines who benefits from efficiency and who absorbs overruns.,AIA A101 (Lump Sum); AIA A133 (GMP); ConsensusDocs,"Lump Sum / Stipulated Sum, Guaranteed Maximum Price (GMP), Cost Plus Fixed Fee, Cost Plus Percentage, Time & Materials (T&M), Unit Price, Target Price with Shared Savings",Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Aconex; MS Excel,Low — no dedicated contract type field in most PM systems. Custom field when tracked,Affects risk allocation and financial performance patterns — GMP vs. Lump Sum vs. Cost Plus have different change dynamics,GMP: GC bears overrun risk. Lump Sum: GC bears all risk. Cost Plus: owner bears risk. Dramatically affects financial benchmarks.
Procurement,Bid Type,How the contractor was selected — affects pricing competitiveness and project relationship dynamics. Open competitive typically yields lowest initial price but highest change order rate. Negotiated/QBS (Qualifications-Based Selection) correlates with lower total cost at completion.,Federal Acquisition Regulation (FAR); Brooks Act (QBS for A/E); State procurement codes,"Competitive Bid (Open), Competitive Bid (Invited / Select), Negotiated, Sole Source / Direct Award, Best Value (Price + Qualifications), Qualifications-Based Selection (QBS)",Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Aconex; Owner procurement systems; MS Excel,None — not tracked in PM systems. Procurement data lives in owner or pre-construction systems,Affects pricing and total cost — open competitive has lower initial price but higher change rate,Open competitive yields lowest bid but often highest final cost. Negotiated/QBS yields higher initial price but lower total cost.
Procurement,Bonding Requirement,Whether performance and payment bonds are required — adds 1-3% to cost and limits the contractor pool to firms with adequate bonding capacity. Federal projects over $250K require bonds (Miller Act). Many state and local public projects have similar requirements.,Miller Act (Federal); State Little Miller Acts; AIA A312 (Bond Forms),"Fully Bonded (Performance + Payment), Payment Bond Only, No Bond Required, Subcontractor Bonds Required",Procore; Sage 300; Viewpoint Vista; CMiC; Oracle Aconex; Surety companies; MS Excel,None — not tracked in PM systems. Bond information lives in contract administration or surety systems,Bonding adds 1-3% to cost — affects pricing and limits which contractors can bid,Public projects over $250K require bonds (Miller Act). Bonding capacity limits contractor pool. Bond cost passed to owner.
Procurement,Prevailing Wage,Whether prevailing wage requirements apply — adds 10-30% to labor cost depending on market differential between prevailing and market rates. Federal (Davis-Bacon) and state prevailing wage laws apply to public projects. Some private projects trigger prevailing wage through public incentives or tax credits.,Davis-Bacon Act (Federal); State prevailing wage laws,"Yes, No",Procore; Sage 300; Viewpoint Vista; CMiC; MS Excel; DOL Wage Determinations,None — not tracked in PM systems. Wage determination data lives in payroll/compliance systems,Prevailing wage adds 10-30% to labor cost — must be filtered for cost benchmarking,Federal and state prevailing wage laws apply to public projects. Some private projects trigger it through public incentives.
Procurement,Union / Open Shop,"Labor agreement type on the project — affects labor rates, productivity assumptions, and trade jurisdiction rules. Union projects have higher hourly rates but potentially different productivity. Project Labor Agreements (PLAs) common on large public projects. Trade jurisdiction rules affect crew composition and flexibility.",NLRA; Davis-Bacon; PLA frameworks,"Union (Closed Shop), Open Shop, Project Labor Agreement (PLA), Mixed",Procore; Sage 300; Viewpoint Vista; CMiC; MS Excel; Payroll systems,None — not tracked in PM systems. Labor agreement information lives in contract or payroll systems,Affects labor rates and productivity — must normalize for union vs. open shop in cost benchmarks,Union projects have higher hourly rates. PLAs common on large public projects. Trade jurisdiction rules affect crew composition.
"--- BUILDING: physical characteristics, structural system, code classification, and occupancy. ---",,,,,,,,
Building,Gross Building Area,"Total enclosed floor area including all floors — the primary size dimension for cost benchmarking. Gross area includes occupied, mechanical, circulation, and wall space. Different from rentable or usable area. Most important physical attribute for cost-per-SF calculations.",ASTM E1836 (Standard Classification for Building Floor Area); BOMA,500 – 10M+ SF (typical commercial: 10K-500K SF),Procore; Sage 300; Viewpoint Vista; CMiC; RS Means; BIM (Revit); MS Excel,Medium — project area field exists but inconsistently populated. No enforcement of gross vs. net vs. rentable definition,Primary size dimension — most cost-per-SF calculations use gross building area,"Definition matters: gross, net, rentable, usable are different numbers. Ensure apples-to-apples when benchmarking cost/SF."
Building,Number of Stories Above Grade,"Count of floors above ground level — affects structural system, vertical transportation requirements, fire protection, and egress. High-rise (typically 7+ stories or 75+ ft) triggers different code requirements for structure, egress, and fire protection. Each additional floor adds elevator, stair, and structural cost premium.",IBC Chapter 5 (Height and Area); NFPA 5000,"1–100+ (low-rise: 1-3, mid-rise: 4-7, high-rise: 7+)","Procore; Sage 300; Viewpoint Vista; CMiC; RS Means; BIM (Revit); MS Excel","Medium — project field exists but not always populated. High-rise designation derived from height and stories","Affects structural system, vertical transportation, and code requirements — key cost driver","High-rise (7+ stories / 75+ ft) requires different structural systems, fire protection, and egress. Each floor adds cost premium."
Building,Number of Stories Below Grade,"Count of floors below ground level (basement levels) — below-grade construction costs 1.5-3x above-grade per SF due to excavation, shoring, waterproofing, and dewatering. Parking structures below grade are common in urban settings.",IBC; Geotechnical Standards,0–5+ (most common: 0-2),Procore; Sage 300; Viewpoint Vista; CMiC; RS Means; BIM (Revit); MS Excel,Low — not a standard field in most PM systems. Sometimes captured in project description or custom fields,Below-grade construction adds significant cost premium — 1.5-3x above-grade per SF,"Below-grade space: excavation, shoring, waterproofing, dewatering. Underground parking is $50-80K/space."
Building,Building Height,"Height from grade to highest occupied floor or roof peak — triggers high-rise code requirements (typically 75+ ft). Determines crane type (tower vs. mobile), wind load design, and elevator requirements.",IBC Chapter 5; ASCE 7 (Wind Loads),"10–2000+ ft (low-rise: <75 ft, high-rise: 75+)","Procore; Sage 300; Viewpoint Vista; CMiC; RS Means; BIM (Revit); MS Excel","Low — not a standard field in most PM systems. Sometimes in project description","Affects structural system, crane requirements, and code classification",Height triggers high-rise code requirements at 75+ ft. Determines crane type. Affects wind load design.
Building,Site Area,"Total area of the project site — affects logistics, staging, and site improvement cost. Tight urban sites increase logistics cost due to limited staging, laydown, and equipment access. Large sites increase paving, utilities, and landscaping scope.",None — project-specific,"0.1–1000+ acres (urban infill: 0.1-1, suburban: 1-20, campus: 20-100)","Procore; Sage 300; Viewpoint Vista; CMiC; RS Means; GIS; MS Excel","Low — not a standard field in most PM systems. Sometimes captured in project description or derived from site plan","Site size affects logistics cost, staging constraints, and site improvement scope",Tight urban sites increase logistics cost. Large sites increase scope. Footprint-to-site ratio indicates density.
Building,Structural System,"Primary structural framing system — the single biggest cost and schedule driver for any building. Steel frame: faster erection, lighter foundation. Concrete frame: potentially cheaper for regular grids, longer cycle time. Mass timber: emerging for mid-rise, different fire protection. Choice affects cost, schedule, trade composition, and crane requirements.",AISC; ACI; AWC NDS; IBC Chapter 19-23,"Steel Frame, Concrete Frame (CIP), Precast Concrete, Wood Frame (Light), Mass Timber, Masonry Bearing Wall, Tilt-Up Concrete, Hybrid (Steel + Concrete), Post-Tensioned Concrete",Procore; Sage 300; Viewpoint Vista; CMiC; RS Means; BIM (Revit/Tekla); MS Excel,Low — no dedicated structural system field in most PM systems. Custom field or inferred from cost code distribution,Compare structural cost per SF and erection rate by system type — largest single cost driver,Structural system is the single biggest cost driver. Steel vs. concrete vs. mass timber have fundamentally different cost and schedule profiles.
Building,Foundation Type,"Primary foundation system — driven by geotechnical conditions, not project type. Deep foundations (driven piles, drilled shafts) add $20-100/SF to substructure cost vs. shallow foundations (spread footings). Foundation type has significant schedule and cost impact in early phases.",ASCE 7; IBC Chapter 18; Geotechnical Standards,"Spread Footings, Mat / Raft Foundation, Driven Piles, Drilled Shafts (Caissons), Micropiles / Helical Piers, Combined (Shallow + Deep), Slab on Grade Only",Procore; Sage 300; Viewpoint Vista; CMiC; RS Means; Geotechnical consultants; MS Excel,None — not tracked in PM systems. Foundation type lives in geotechnical reports and structural drawings,Compare substructure cost by foundation type and soil conditions,Foundation type driven by geotechnical conditions. Deep foundations add $20-100/SF. Pile driving has noise/vibration impacts.
Building,Number of Units,"Count of individual units — apartments, hotel rooms, patient rooms, beds, or seats. Per-unit cost is the primary benchmark for residential, hospitality, and healthcare. Only applicable for certain building types. Normalizes cost comparison across different building sizes within the same type.",None — type-specific unit definition,"1–5000+ (apartments: 50-500, hotel rooms: 100-1000, hospital beds: 50-500)",Procore; Sage 300; Viewpoint Vista; CMiC; RS Means; Owner program documents; MS Excel,Low — not a standard field in most PM systems. Custom field when tracked,Per-unit cost is the primary benchmark for residential ($/unit) and hospitality ($/key),"Only applicable for certain types: multi-family, hospitality, healthcare, education. Unit definition varies by type."
Building,Parking Type,Type of parking provided — parking structure can be 15-25% of total project cost. Underground parking is most expensive ($50-80K/space). Structured above-grade: $20-40K/space. Surface: $2-5K/space. Parking type significantly affects total project cost and should be tracked for cost benchmarking.,IBC; ACI 362.1 (Parking Structures),"Surface Lot, Structured Garage (Above Grade), Underground Garage, Podium / Pedestal, No Parking, Mechanical / Automated",Procore; Sage 300; Viewpoint Vista; CMiC; RS Means; MS Excel,None — not tracked in PM systems. Parking type lives in design documents or custom fields,Parking type dramatically affects total cost — underground is 10-20x more expensive per space than surface,Underground parking is the most expensive ($50-80K/space). Often 15-25% of total project cost.
Building,Construction Type,"IBC construction type classification — determines allowable building height and area, required fire-resistance ratings for structural elements, and material restrictions. Type I-A (most fire resistant, most expensive) to Type V-B (least fire resistant, least expensive). Directly drives structural material and fireproofing cost.",IBC Chapter 6 (Types of Construction); NFPA 220,"Type I-A (Fire Resistive / Protected), Type I-B, Type II-A, Type II-B, Type III-A, Type III-B, Type IV-A/B/C (Mass Timber), Type IV-HT (Heavy Timber), Type V-A, Type V-B",Procore; Sage 300; Viewpoint Vista; CMiC; RS Means; BIM (Revit); Code analysis tools,None — not tracked in PM systems. Construction type lives in code analysis documents and permit applications,Compare material cost and fire protection requirements by construction type,Type I-A is most expensive (full fire resistance). Type V-B is cheapest (no fire resistance). Type IV (mass timber) is emerging.
