Category,Relationship,Inverse,Definition,Cardinality,Lifecycle Phases,Construction Examples
Causal,ORIGINATED_FROM,GENERATES,"Entity directly created as a result of another entity",many:1,All,"Change order originated from RFI; rework originated from design error; delay originated from failed inspection; claim originated from differing site condition"
Causal,TRIGGERED_BY,TRIGGERS,"Entity caused by an external event or condition — root cause relationship",many:1,All,"Schedule delay triggered by material shortage; cost overrun triggered by scope creep; safety incident triggered by fall hazard; rework triggered by coordination failure"
Causal,LINKED_TO,LINKED_FROM,"General association between entities without strict causation or hierarchy",many:many,All,"Coordination issue linked to RFI; observation linked to specification section; daily report linked to weather event; cost code linked to schedule activity"
"--- TEMPORAL: time ordering and dependencies ---",,,,,,
Temporal,PRECEDES,FOLLOWS,"One activity or event occurs before another in time sequence",many:many,All,"Foundation pour precedes structural steel erection; submittal approval precedes material fabrication; rough-in precedes inspection; substantial completion precedes final payment"
Temporal,DEPENDS_ON,ENABLES,"Entity cannot start or complete until a dependency is satisfied — blocking relationship",many:many,All,"Steel erection depends on anchor bolt survey; above-ceiling inspection depends on MEP rough-in complete; certificate of occupancy depends on all inspections passed"
Temporal,CONCURRENT_WITH,CONCURRENT_WITH,"Activities or events occur during the same time period — parallel execution",many:many,Construction,"Electrical rough-in concurrent with plumbing rough-in; exterior enclosure concurrent with interior framing on lower floors; MEP coordination concurrent with structural design"
Temporal,LEADS,LAGS,"One event is a predictive leading or lagging indicator of another — statistical relationship",many:many,Construction / Closeout,"Quality observations lead punch items; RFI volume leads change order volume; submittal delays lead material delays; safety near-misses lead recordable incidents"
"--- SPATIAL: physical location and proximity ---",,,,,,
Spatial,LOCATED_AT,CONTAINS_ITEM,"Entity situated at a specific physical location within a project or site",many:1,Construction / Closeout,"Deficiency located at Building A Floor 3; equipment operating at north tower; crew working at Zone B; material staged at laydown area"
Spatial,ADJACENT_TO,ADJACENT_TO,"Entities in physical proximity — relevant for coordination and impact analysis",many:many,Construction,"Electrical conduit adjacent to plumbing pipe; excavation adjacent to existing structure; crane swing radius adjacent to occupied building; hot work adjacent to flammable storage"
"--- RESOURCE: what resources are needed for and used by work ---",,,,,,
Resource,REQUIRES,REQUIRED_BY,"Entity needs a specific resource type to execute — demand relationship",many:many,All,"Concrete pour requires pump truck; steel erection requires tower crane and ironworkers; commissioning requires TAB contractor; paving requires compactor"
Resource,CONSUMES,CONSUMED_BY,"Entity physically uses up a material or consumable resource",many:many,Construction,"Foundation pour consumes 200 CY concrete; painting consumes 150 gallons primer; waterproofing consumes 4000 SF membrane"
Resource,SPECIFIES,SPECIFIED_BY,"Entity formally defines what a resource must be — product or performance requirement",many:many,Preconstruction / Procurement,"Specification section specifies concrete mix design; submittal specifies exact fixture model; drawing detail specifies connection type; performance spec specifies R-value"
Resource,ALLOCATED_TO,HAS_ALLOCATION,"Resource assigned to a specific scope of work or time period",many:many,Construction,"8 electricians allocated to Floor 7 this week; tower crane allocated to steel erection through March; laydown area allocated to curtain wall staging"
"--- ORGANIZATIONAL: company and project structure ---",,,,,,
Organizational,BELONGS_TO,HAS_MEMBER,"Entity is a member of a group or organization",many:1,All,"Project manager belongs to general contractor; subcontractor belongs to project team; inspector belongs to testing agency; architect belongs to design team"
Organizational,PLAYS_ROLE,ROLE_HELD_BY,"Entity performs a specific role in a given context — same entity can play different roles across contexts",many:many,All,"Company plays GC role on Project A but subcontractor role on Project B; engineer plays designer on base bid but reviewer on change orders; superintendent plays safety officer on small projects"
Organizational,REPORTS_TO,SUPERVISES,"Hierarchical reporting or oversight relationship between parties",many:1,All,"Foreman reports to superintendent; superintendent reports to project manager; subcontractor reports to GC for schedule coordination; CM reports to owner"
Organizational,PARTICIPATES_IN,HAS_PARTICIPANT,"Entity involved in an activity or event without sole ownership",many:many,All,"Architect participates in OAC meeting; sub participates in coordination meeting; owner participates in punchlist walk; trades participate in safety standup"
"--- DOCUMENT: how information and records relate to work ---",,,,,,
Document,REFERENCES,REFERENCED_BY,"Document or record cites or points to another entity",many:many,All,"RFI references drawing sheet S-301; change order references specification section 05 12 00; daily report references weather conditions; submittal references spec section"
Document,ATTACHED_TO,HAS_ATTACHMENT,"File or media artifact physically associated with an entity",many:1,All,"Photo attached to observation; test report attached to inspection; shop drawing attached to submittal; signed lien waiver attached to pay application"
Document,DOCUMENTS,DOCUMENTED_BY,"Entity formally recorded or captured by a document or record",many:many,All,"Daily log documents field activity; meeting minutes document decisions; inspection report documents test results; as-built drawing documents final conditions"
Document,GOVERNS,GOVERNED_BY,"Document establishes binding rules or requirements for an entity",many:many,All,"Contract governs scope of work; specification governs material and installation; building code governs design; safety plan governs site procedures"
"--- COMPLIANCE: regulatory and contractual conformance ---",,,,,,
Compliance,COMPLIES_WITH,VERIFIED_BY,"Entity meets the requirements of a regulation or contractual standard",many:many,All,"Installation complies with building code; concrete mix complies with specification; safety procedures comply with OSHA standards; project complies with permit conditions"
Compliance,VIOLATES,VIOLATED_BY,"Entity fails to meet a regulatory or contractual requirement",many:many,Construction / Closeout,"Fall protection violates OSHA 1926.502; fire stopping violates UL listing; installation violates approved shop drawing; work violates permit conditions"
"--- RISK: how risks relate to project entities ---",,,,,,
Risk,IMPACTS,IMPACTED_BY,"Entity has a downstream effect on another entity's cost, schedule, scope, or quality — forward-looking consequence",many:many,All,"Design change impacts structural steel schedule and budget; material shortage impacts 3 trades and 12 schedule activities; foundation condition impacts project cost by $500K; permit delay impacts all downstream construction"
Risk,MITIGATED_BY,MITIGATES,"Risk or exposure reduced by a control, action, contingency, or design decision",many:many,All,"Fall risk mitigated by guardrail installation; budget risk mitigated by contingency reserve; schedule risk mitigated by early procurement; weather risk mitigated by temporary enclosure; coordination risk mitigated by BIM clash detection"
Risk,EXPOSES_TO,HAS_EXPOSURE,"Activity, condition, or decision creates exposure to a risk — the source of risk",many:many,All,"Deep excavation exposes to cave-in risk; single-source material exposes to supply chain risk; concurrent trades expose to coordination risk; incomplete design exposes to change order risk; winter schedule exposes to weather delay risk"
"--- MODEL: how digital representations relate to physical entities ---",,,,,,
Model,REPRESENTS,REPRESENTED_BY,"Digital entity represents a physical building element, system, or condition — bridge between virtual and physical",many:1,All,"BIM wall element represents physical wall assembly; 3D model represents building design intent; digital twin represents as-built condition; point cloud represents existing site conditions; 4D model represents construction sequence"
Model,CLASHES_WITH,CLASHES_WITH,"Two model elements occupy the same physical space — spatial conflict requiring resolution",many:many,Preconstruction / Construction,"Duct clashes with structural beam; plumbing pipe clashes with electrical conduit; sprinkler head clashes with light fixture; curtain wall mullion clashes with slab edge; cable tray clashes with ductwork"
Model,CAPTURED_BY,CAPTURES,"Physical condition documented by a reality capture method — validation of current state against design intent",many:many,Construction / Closeout,"As-built wall position captured by laser scan; construction progress captured by 360 photo; site topography captured by drone survey; facade condition captured by thermal imaging; underground utilities captured by ground-penetrating radar"
"--- DOCUMENT: how information and records relate to work (continued) ---",,,,,,
Document,RESPONDS_TO,HAS_RESPONSE,"Entity is a direct reply or answer to a question, request, or submission — conversational relationship",many:1,All,"RFI response responds to RFI question; submittal review responds to submittal submission; proposal responds to bid invitation; inspection correction responds to deficiency notice; correspondence reply responds to original letter"
"--- COMPLIANCE: regulatory and contractual conformance (continued) ---",,,,,,
Compliance,ISSUED_BY,ISSUES,"Permit, certificate, or authorization formally issued by a regulatory authority or authorized party",many:1,All,"Building permit issued by city building department; certificate of occupancy issued by code official; work permit issued by fire marshal; environmental permit issued by EPA; temporary certificate issued by AHJ"
"--- BENCHMARK: cross-project and cross-company comparison ---",,,,,,
Benchmark,COMPARABLE_TO,COMPARABLE_TO,"Entities share enough attributes to support meaningful comparison",many:many,All,"$50M commercial project comparable to similar projects in same region; subcontractor comparable to peers on similar scopes; schedule performance comparable across portfolio"
Benchmark,BENCHMARKED_AGAINST,BENCHMARKS,"Entity measured against a reference standard or population percentile",many:1,All,"Project rework cost benchmarked against industry median; safety incident rate benchmarked against company average; schedule variance benchmarked against portfolio norm"
Benchmark,SEGMENTED_BY,SEGMENTS,"Metric or entity grouped by an analytical dimension for meaningful comparison",many:many,All,"Cost performance segmented by project type; safety metrics segmented by trade; quality defects segmented by building system; change frequency segmented by project phase"
