Source Domain,Target Domain,Primary Relationships,Bridge Elements,Data Flow,Connection Strength,Notes
Quality & Safety Records,Documents & Communications,"REFERENCES, ATTACHED_TO, LINKED_TO","Observation→Drawing Reference, Punch Item→Photo, Inspection→Spec Section, Coordination Issue→RFI (rfi_header_id)",↔,Dense,"Photos attached to observations/punch items. Coordination issues link to RFIs (4,967 linked). Inspections reference spec sections."
Quality & Safety Records,Building Elements,"MAPS_TO, LOCATED_AT","Observation.name→18 Issue Categories→Building System, Punch Item.name→18 Categories, Inspection Item→System",→,Moderate,"Keyword clustering on observation.name and punch_item.name maps to building systems. 12,556 unique cos in dual-signal model."
Quality & Safety Records,Organizations,"ASSIGNED_TO, PERFORMED_BY, INSPECTED_BY","Observation→vendor_id (80%), Punch Item→vendor_id, Inspection→responsible_contractor_id (48%)",↔,Dense,"Vendor assignment on observations and punch items enables trade-level quality attribution."
Quality & Safety Records,Field Operations,"DOCUMENTS, TRIGGERED_BY","Daily Log Safety Violation→Safety Obs (conceptual), Accident Log→Incident, Daily Log Inspection→Inspection",↔,Moderate,"Daily log entries feed formal quality/safety records. Safety violations and accidents link conceptually to incidents."
Quality & Safety Records,Standards & Classifications,"COMPLIES_WITH, VIOLATES, CLASSIFIED_AS","Observation→OSHA Hazard Category (hazard_name), Inspection→IBC/OSHA standard, NCR→Spec Section deviation",→,Dense,"OSHA hazard categories are structured on safety observations. Inspections verify code compliance."
Quality & Safety Records,Locations,"LOCATED_AT","Observation→location_id, Punch Item→location_id, Inspection→location",→,Moderate,"Location tracking on observations, punch items, and inspections enables spatial quality analysis."
Quality & Safety Records,Roles,"ASSIGNED_TO, INSPECTED_BY, MANAGED_BY","Safety Manager→Safety Obs, QC Inspector→Inspections, PM→Punch Items",←,Moderate,"Safety managers drive safety observations. QC inspectors conduct inspections. PMs manage punch list closure."
Quality & Safety Records,Phases,"PRECEDES, DEPENDS_ON","Observation→Construction phase, Punch Item→Closeout, Inspection→Pre-cover/Pre-pour gates",→,Moderate,"Observations peak during construction. Punch items concentrate in closeout. Inspections gate phase transitions."
Quality & Safety Records,Risk,"EXPOSES_TO, LEADS, IMPACTS","Safety Observation→Safety Risk, Quality Deficiency→Rework Risk, Hazard Recurrence→Systemic Risk",→,Dense,"Quality/safety records are primary risk signals. Validated in insights #1, #4, #11."
Quality & Safety Records,Models & BIM,"LINKED_TO, ORIGINATED_FROM","Coordination Issue→BIM Clash, Observation→Model Element (conceptual)",←,Sparse,"Coordination issues originate from BIM clash detection. Observations can reference model elements but linkage is weak."
Quality & Safety Records,Contracts & Procurement,"VIOLATES, COSTS_AGAINST","Deficiency Notice→Contract cure provisions, NCR→Specification deviation, Backcharge→Subcontract",→,Sparse,"Deficiency notices invoke contractual cure provisions. NCRs trace to spec sections. Backcharges deduct from subcontracts."
"--- DOCUMENT WEB: how information connects to everything ---",,,,,,
Documents & Communications,Building Elements,"REFERENCES, GOVERNS, SPECIFIES","Drawing→Building System (discipline), Spec Section→MasterFormat Division→System, RFI predicted_topic→System",→,Dense,"RFI predicted_topic (176 topics) maps directly to building systems. Spec sections organized by MasterFormat. Drawings organized by discipline."
Documents & Communications,Organizations,"ASSIGNED_TO, RESPONDS_TO, DESIGNED_BY","RFI→Architect/Engineer (assignee), Submittal→Reviewer, Correspondence→Parties",↔,Dense,"RFIs assigned to design team. Submittals routed through approval chains. Correspondence tracks inter-party communication."
Documents & Communications,Schedule,"REFERENCES, IMPACTS, PRECEDES","RFI schedule_impact flag, Submittal→Procurement→Schedule, Drawing Revision→Schedule Activity",→,Moderate,"Overdue RFIs and submittals delay schedule activities. Drawing revisions may trigger schedule changes."
Documents & Communications,Field Operations,"DOCUMENTS, ATTACHED_TO","Daily Log Note→Field narrative, Photo→Observations/Daily Logs, Plan Revision→Drawing Receipt",↔,Dense,"Daily logs document field activity. Photos attach to nearly all field records. Plan revisions track drawing distribution."
Documents & Communications,Standards & Classifications,"REFERENCES, GOVERNS","Spec Section→MasterFormat/ASTM, Drawing→NCS Standards, RFI→Code Reference",→,Moderate,"Spec sections reference MasterFormat and ASTM standards. Drawings follow NCS conventions."
Documents & Communications,Phases,"PRECEDES, DEPENDS_ON","Addendum→Bidding, Shop Drawing→Fabrication, As-Built→Closeout, O&M Manual→Handover",→,Moderate,"Document types are phase-gated: addenda in preconstruction, shop drawings in procurement, as-builts in closeout."
Documents & Communications,Locations,"REFERENCES, LOCATED_AT","Drawing Sheet→Location (floor/zone), Photo→location_id, Site Instruction→Work Area",→,Sparse,"Drawings reference locations by sheet content. Photos can be geotagged to locations."
Documents & Communications,Roles,"ASSIGNED_TO, MANAGED_BY","RFI→Ball-in-Court (role), Submittal→Reviewer, Document Controller→Distribution",↔,Moderate,"Ball-in-court tracking identifies responsible role. Document controller manages distribution."
Documents & Communications,Permits & Regulatory,"DOCUMENTS, DEPENDS_ON","Permit Application→Drawings/Specs, COI→Vendor Insurance, Lien Waiver→Payment",↔,Moderate,"Permit applications reference design documents. COIs and lien waivers are regulatory compliance documents."
Documents & Communications,Contracts & Procurement,"REFERENCES, GOVERNS","Contract→Drawings/Specs (contract docs), Bid Package→Drawings, Submittal→Spec Section",↔,Dense,"Design documents are part of the contract. Bid packages reference drawings and specs."
Documents & Communications,Models & BIM,"REPRESENTS, REFERENCES","Drawing Sheet→2D from 3D Model, Coordination Issue→RFI (rfi_header_id), Shop Drawing→Model Element",↔,Moderate,"Drawing sheets generated from BIM models. Coordination issues link to RFIs for resolution."
Documents & Communications,Risk,"IMPACTS, TRIGGERED_BY","Late RFI→Schedule/Cost Risk, Drawing Revision Post-IFC→Change Risk, Overdue Submittal→Material Risk",→,Moderate,"Late documents are leading risk indicators. Post-IFC revisions signal design instability."
"--- CLASSIFICATION SPINE: how standards connect domains ---",,,,,,
Standards & Classifications,Building Elements,"MAPS_TO, CLASSIFIED_AS","MasterFormat Division→Building System, UniFormat Category→Element, OmniClass→Entity",↔,Dense,"MasterFormat is the primary financial-to-physical bridge. UniFormat provides systems-level classification."
Standards & Classifications,Organizations,"COMPLIES_WITH, CLASSIFIED_AS","OSHA→Safety Authority, IBC→Building Department, ADA→Accessibility requirements",→,Moderate,"Organizations comply with standards from regulatory authorities. Classification by role type."
Standards & Classifications,Permits & Regulatory,"GOVERNS, COMPLIES_WITH","IBC→Building Permit requirements, NFPA→Fire Marshal review, OSHA→Safety plan",→,Dense,"Building codes govern permit requirements. Fire codes govern fire marshal review. OSHA governs safety compliance."
Standards & Classifications,Resources,"SPECIFIES, CLASSIFIED_AS","Spec Section→Material requirements, MasterFormat→Trade classification",→,Moderate,"Specifications define material and installation requirements. MasterFormat divisions align with trade scopes."
Standards & Classifications,Models & BIM,"MAPS_TO, CLASSIFIED_AS","IFC Classification→BIM Entity, LOD Specification→Model Completeness",→,Moderate,"IFC standards classify BIM entities. LOD specification defines model element maturity."
Standards & Classifications,Contracts & Procurement,"GOVERNS, REFERENCES","AIA Contracts→Standard forms, Spec Sections→Scope definition",→,Moderate,"AIA standards govern contract forms. Spec sections define procurement scope."
"--- RESPONSIBILITY NETWORK: how organizations and roles connect to work ---",,,,,,
Organizations,Roles,"PLAYS_ROLE, BELONGS_TO","Company→PM Role, Vendor→Trade Role, GC→Superintendent",↔,Dense,"Organizations employ people who play specific roles on projects. Same company, different roles across projects."
Organizations,Building Elements,"PERFORMED_BY, CONTRACTED_TO","Subcontractor→Building System scope (via commitment), Trade→Element installation",→,Moderate,"Subcontractors are contracted for specific building system scopes. Vendor→commitment→cost code→system chain."
Organizations,Contracts & Procurement,"CONTRACTED_TO, BONDED_BY","Vendor→Subcontract, Surety→Bond, Insurance→COI",↔,Dense,"Organizations are the parties to contracts. Surety and insurance companies provide financial backing."
Organizations,Locations,"LOCATED_AT, ALLOCATED_TO","Crew→Work Zone, Vendor→Project Site",→,Sparse,"Organizations are allocated to work zones on site. Less structured in Procore."
Organizations,Permits & Regulatory,"ISSUED_BY, COMPLIES_WITH","Building Department→Permit, Fire Marshal→Review, OSHA→Citation",→,Moderate,"Regulatory authorities issue permits and citations. Contractors comply with regulatory requirements."
Roles,Schedule,"MANAGED_BY, ALLOCATED_TO","Scheduler→Schedule Management, Superintendent→Field Coordination, PM→Progress Tracking",→,Moderate,"Roles drive schedule management. Scheduler maintains CPM, superintendent coordinates field work."
Roles,Field Operations,"PERFORMED_BY, MANAGED_BY","Superintendent→Daily Log, Safety Manager→Safety Violations, Foreman→Crew Management",→,Dense,"Field operations are role-driven. Superintendent owns the daily log. Safety manager owns safety program."
"--- SPATIAL LINKS: how locations connect to work ---",,,,,,
Locations,Building Elements,"CONTAINS, LOCATED_AT","Floor/Level→MEP Systems, Zone→Interiors, Room→Fixtures",↔,Dense,"Building elements are installed at specific locations. Location hierarchy mirrors building decomposition."
Locations,Field Operations,"LOCATED_AT","Daily Log→location context, Equipment→Work Area, Crew→Zone Assignment",←,Moderate,"Field operations happen at specific locations. Daily log entries can reference work areas."
Locations,Schedule,"LOCATED_AT, DEPENDS_ON","Schedule Activity→Location, Work Zone→Sequence, Floor→Vertical progression",↔,Moderate,"Schedule activities linked to locations enable 4D visualization. Vertical construction progresses floor by floor."
Locations,Models & BIM,"REPRESENTS, LOCATED_AT","BIM Model→Spatial decomposition, Point Cloud→As-Built Location",↔,Moderate,"BIM models represent spatial layout. Point clouds capture actual positions."
"--- LIFECYCLE FLOW: how phases and workflows connect ---",,,,,,
Phases,Schedule,"CONTAINS, PRECEDES","Phase→Summary Activities, Phase Gate→Milestone, Phase Duration→Schedule Segment",↔,Dense,"Phases contain schedule activities. Phase transitions are schedule milestones."
Phases,Workflows & Statuses,"PRECEDES, DEPENDS_ON","Phase Gate→Status Transition, Approval Chain→Phase-specific workflows",↔,Dense,"Workflow patterns are phase-specific. Financial approval chains differ from field workflows."
Phases,Building Elements,"PRECEDES, CONCURRENT_WITH","Structure phase→Structural Frame, Enclosure phase→Exterior, MEP phase→All MEP systems",→,Dense,"Each construction phase activates specific building systems. Phase×System matrix defines this."
Phases,Resources,"REQUIRES, ALLOCATED_TO","Phase→Trade mobilization, Phase→Equipment deployment, Phase→Material procurement",→,Dense,"Resource requirements vary by phase. System-resource matrix crossed with phase-system matrix."
Phases,Contracts & Procurement,"PRECEDES, DEPENDS_ON","Bidding→Award (Preconstruction), Fabrication→Installation (Procurement), Closeout→Warranty",→,Moderate,"Procurement activities are phase-gated. Contract milestones align with phase transitions."
Phases,Permits & Regulatory,"DEPENDS_ON, PRECEDES","Building Permit→Construction start, Inspections→Phase gates, CO→Occupancy",↔,Moderate,"Permits gate construction start. Inspections gate phase transitions. CO enables occupancy."
Workflows & Statuses,Documents & Communications,"RESOLVES_TO, APPROVED_AS","RFI workflow, Submittal approval chain, Correspondence response chain, Lien waiver exchange",↔,Dense,"Workflows drive document processing. RFI lifecycle, submittal approval, invoice processing all follow defined workflows."
Workflows & Statuses,Financial Instruments,"APPROVED_AS, RESOLVES_TO","CE→Approved, CCO→Approved (96.7%), Pay App→Approved, Budget Mod→Posted",↔,Dense,"Financial instruments follow approval workflows. CE/CCO/Invoice/Budget Mod all have structured status progressions."
Workflows & Statuses,Quality & Safety Records,"RESOLVES_TO, APPROVED_AS","Observation→Closed, Punch Item→Closed, Incident→Closed, Inspection→Complete",→,Dense,"Quality/safety records follow resolution workflows. Open→In Progress→Ready for Review→Closed."
"--- RISK CROSS-CUTTING: how risk connects to everything ---",,,,,,
Risk,Schedule,"IMPACTS, TRIGGERED_BY","Schedule Risk→Delay, Float Erosion→Risk Indicator, Critical Path→Risk Concentration",↔,Dense,"Schedule risk is one of the highest-impact risk categories. Float erosion is a leading indicator."
Risk,Contracts & Procurement,"MITIGATED_BY, EXPOSES_TO","Surety Bond→Performance Risk, Insurance→Liability Risk, Contract Terms→Risk Allocation",←,Moderate,"Contracts allocate risk between parties. Bonds and insurance transfer risk to third parties."
Risk,Resources,"EXPOSES_TO, TRIGGERED_BY","Labor Shortage→Schedule Risk, Single-Source Material→Supply Risk, Equipment Failure→Delay Risk",←,Moderate,"Resource constraints create risk exposure. Material shortages validated as structured signal (84K delay records)."
Risk,Permits & Regulatory,"TRIGGERED_BY, IMPACTS","Permit Delay→Schedule Risk, Code Violation→Regulatory Risk, Environmental Non-compliance→Fine Risk",←,Moderate,"Permit and regulatory issues trigger risk events. Non-compliance carries financial penalties."
"--- DIGITAL REPRESENTATION: how BIM connects to physical ---",,,,,,
Models & BIM,Building Elements,"REPRESENTS, CLASHES_WITH","BIM Model Element→Physical Element, Federated Model→System Coordination",↔,Dense,"BIM models represent building elements digitally. Clash detection finds spatial conflicts between systems."
Models & BIM,Schedule,"LINKED_TO, REPRESENTS","4D Model→Schedule Activity, 5D Model→Cost-loaded Schedule",→,Moderate,"4D models link BIM to schedule for visualization. 5D adds cost dimension."
Models & BIM,Resources,"SPECIFIES, CONSUMES","Quantity Takeoff→Material Quantities, Model→Bill of Materials",→,Moderate,"BIM enables quantity takeoff for material procurement. Model-based estimating."
Models & BIM,Locations,"REPRESENTS, CONTAINS","BIM Model→Spatial Layout, Coordination Model→Floor/Zone breakdown",↔,Moderate,"BIM models inherently contain spatial information. Model space maps to physical locations."
"--- PROCUREMENT & CONTRACT NETWORK ---",,,,,,
Contracts & Procurement,Resources,"SPECIFIES, COMMITTED_TO","Subcontract→Trade scope, PO→Material, Insurance→Risk transfer",→,Moderate,"Contracts commit specific trade and material resources. POs procure materials."
Contracts & Procurement,Permits & Regulatory,"COMPLIES_WITH, DEPENDS_ON","Prevailing Wage→Labor compliance, Bonding→Permit requirement, DBE→Diversity compliance",→,Sparse,"Contract compliance requirements include prevailing wage, bonding, and diversity goals."
"--- REMAINING CONNECTIONS ---",,,,,,
Field Operations,Schedule,"LINKED_TO, DOCUMENTS","Daily Log Scheduled Work→schedule_task_id (FK), Delay Log→Schedule Impact, Manpower→Resource Loading",↔,Dense,"Procore's daily_log_scheduled_work_task links field data to CPM schedule. Unique capability — no P6 equivalent."
Field Operations,Building Elements,"MAPS_TO, LOCATED_AT","Manpower trade_name→Trade→Building System, Equipment→System being served, Delivery→Material→System",→,Moderate,"Trade names on manpower logs map to building systems. Equipment usage indicates active systems."
Field Operations,Resources,"DOCUMENTS, CONSUMES","Manpower Log→Trade hours, Equipment Log→Equipment hours, Delivery Log→Material receipts",→,Dense,"Field operations document actual resource consumption. Manpower, equipment, and delivery logs track trades, equipment, and materials."
Field Operations,Locations,"LOCATED_AT","Work area→Location, Equipment→Location, Crew→Zone",→,Sparse,"Field operations happen at specific locations. Less structured than expected in current data."
Field Operations,Organizations,"PERFORMED_BY, MANAGED_BY","Vendor→Manpower/Equipment entries, GC→Daily Log compilation",←,Moderate,"Vendors appear on daily log entries via vendor_name/vendor_id. GC compiles daily logs."
Field Operations,Phases,"DOCUMENTS","Daily Log→Construction progress by phase, Delay Log→Phase-specific delays",→,Moderate,"Daily logs track progress within each construction phase."
Field Operations,Permits & Regulatory,"DOCUMENTS, COMPLIES_WITH","Daily Log Safety→OSHA compliance, Weather Log→Environmental compliance",→,Sparse,"Safety violation logs and environmental logs support regulatory compliance documentation."
Resources,Building Elements,"REQUIRES, CONSUMES, PERFORMED_BY","Trade→Building System (system-resource matrix), Material→Element, Equipment→System served",↔,Dense,"System-resource matrix defines which trades, equipment, and materials each building system requires."
Resources,Locations,"ALLOCATED_TO, LOCATED_AT","Crew→Zone, Equipment→Work Area, Material→Laydown/Staging",→,Sparse,"Resources allocated to specific locations during construction."
Project Attributes,Financial Instruments,"SEGMENTED_BY, BENCHMARKED_AGAINST","Project Type→Cost benchmarks, Value Band→Budget norms, Delivery Method→CO rate comparison",→,Dense,"Project attributes are the primary segmentation dimensions for financial benchmarking."
Project Attributes,Quality & Safety Records,"SEGMENTED_BY, BENCHMARKED_AGAINST","Project Type→Defect patterns (3D hot sheet), Value Band→Safety metrics",→,Dense,"7 project types validated for quality/safety benchmarking with 99+ cos each."
Project Attributes,Schedule,"SEGMENTED_BY, BENCHMARKED_AGAINST","Project Type→Duration norms, Complexity→Schedule risk, Delivery Method→Schedule approach",→,Moderate,"Project attributes drive schedule benchmarking dimensions."
Project Attributes,Building Elements,"CLASSIFIED_AS, CONTAINS","Project Type→Expected systems, Building Area/Stories→Scope definition",→,Moderate,"Project type determines which building systems are relevant. Building attributes define scope."
Project Attributes,Organizations,"CLASSIFIED_AS, MANAGED_BY","Owner Type→Owner organization, GC/CM→Contractor, Sub Count→Team size",→,Moderate,"Project attributes classify the organizational structure. Owner type, GC, and sub count."
Project Attributes,Risk,"EXPOSES_TO, SEGMENTED_BY","Project Complexity→Risk Level, Fast-Track→Schedule Risk, Site Constraints→Execution Risk",→,Moderate,"Project attributes define inherent risk profiles. Complexity, delivery method, and constraints drive risk."
Project Attributes,Locations,"LOCATED_AT","Address/City/State/Country→Geographic location, Climate Zone→Weather risk, Seismic Category→Structural requirements",→,Moderate,"Project attributes include geographic and environmental classification."
Project Attributes,Resources,"REQUIRES","Peak Workforce→Labor demand, Construction Type→Material requirements, Area/Stories→Equipment needs",→,Sparse,"Project scale attributes indicate resource requirements."
"--- OUTBOUND FROM BUILDING ELEMENTS, SCHEDULE, PERMITS ---",,,,,,
Building Elements,Resources,"REQUIRES, COMPOSED_OF","System→Primary Trade, System→Materials, System→Equipment (system-resource matrix)",→,Dense,"System-resource matrix defines which trades, equipment, and materials each building system requires."
Building Elements,Locations,"LOCATED_AT, ADJACENT_TO","System→Floor/Level, Element→Zone/Room, MEP routing→Ceiling Plenum",→,Dense,"Building elements exist at specific locations. Spatial decomposition mirrors system hierarchy."
Building Elements,Standards & Classifications,"CLASSIFIED_AS, MAPS_TO","System→MasterFormat Division, Element→UniFormat Category, System→OmniClass",→,Dense,"Building elements classified by industry standards. MasterFormat and UniFormat are the primary schemes."
Building Elements,Models & BIM,"REPRESENTED_BY, CLASHES_WITH","Physical Element→BIM Model Element, System conflict→Clash Detection",→,Dense,"Every physical building element has a digital BIM representation. Clashes detected between systems."
Schedule,Financial Instruments,"COSTS_AGAINST, BUDGETED_FOR","Activity→Cost Loading, Schedule Milestone→Billing Cycle, Float Erosion→Budget Risk",→,Moderate,"Cost-loaded schedules map activities to budget lines for earned value. Billing tied to schedule milestones."
Schedule,Field Operations,"LINKED_TO, DOCUMENTS","CPM Activity→Scheduled Work Log (schedule_task_id FK), Schedule→Daily Log progress",→,Dense,"Procore's native schedule-to-field linkage via schedule_task_id. No P6 equivalent."
Schedule,Phases,"CONTAINS, PRECEDES","Summary Activities→Phase boundaries, Milestones→Phase gates",→,Dense,"Schedule activities organized by phase. Milestones mark phase transitions."
Schedule,Building Elements,"PRECEDES, CONCURRENT_WITH","Activity→Building System installation sequence, MEP Rough-In concurrent across systems",→,Dense,"Schedule sequences building system installation. Vertical progression floor-by-floor."
Schedule,Resources,"REQUIRES, ALLOCATED_TO","Activity→Trade/Equipment/Material, Resource Loading→Schedule Activities",→,Moderate,"Resource-loaded schedules assign trades, equipment, and materials to activities."
Permits & Regulatory,Phases,"ENABLES, DEPENDS_ON","Building Permit→Construction start, CO→Occupancy, Inspections→Phase gates",→,Dense,"Permits gate construction phases. No construction without permits."
Permits & Regulatory,Quality & Safety Records,"COMPLIES_WITH, INSPECTED_BY","AHJ Inspection→Code compliance, OSHA→Safety requirements, Special Inspection→Structural integrity",→,Dense,"Regulatory inspections verify code compliance. OSHA governs safety requirements."
Permits & Regulatory,Organizations,"ISSUED_BY, COMPLIES_WITH","Building Department→Permit, Fire Marshal→Review, OSHA→Citation, Insurance Broker→COI",→,Moderate,"Regulatory authorities issue permits. Contractors and vendors comply."
Permits & Regulatory,Documents & Communications,"DOCUMENTS, REFERENCES","Permit Application→Drawing/Spec package, Safety Plan→OSHA compliance, SWPPP→Environmental compliance",→,Moderate,"Permit applications reference design documents. Safety and environmental plans are compliance documents."
