Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
Materials & Deliveries,Delivery Log Entry,"Daily record of materials received on site — contents description, delivery source, tracking number, time, and comments. One entry per delivery event per day. The contents field is a free-text description of what was delivered. Deliveries are major daily events that affect staging, storage, and workflow.","No universal standard; good practice per AIA A201 site management obligations","One entry per delivery/day; contents (free text — 'Steel beams, W12x26', '40 CY ready-mix concrete', 'Drywall — 500 sheets 5/8'), delivery_from, tracking_number, time, comments, vendor_name","Procore (daily_log_delivery), Raken, paper logs","High — daily_log_delivery table is structured. Fields: contents (STRING — primary material signal), delivery_from (STRING), tracking_number (STRING), time (STRING), comments (STRING), delivery_logs_date (DATE), vendor_name. Widely adopted.","Deliveries per day; delivery volume over project timeline; delivery-to-installation lag","contents field is free text describing what was delivered — the most direct material receipt signal in field operations. Cross-domain: feeds Materials taxonomy (what arrived), Schedule (was it on time?), and Financial (did delivery match PO?). Compare to submittals (what was approved) and workforce.materials_receipt (structured receipt — NOT READY)."
Materials & Deliveries,Material Shipment Record,"Structured tracking of material shipments from supplier/fabricator to jobsite — shipment date, expected arrival, contents, quantity, and carrier. Tracks the supply chain between purchase order and site delivery. Separate from delivery log (which records what actually arrived on site).","No universal standard; PO terms govern delivery expectations","Shipment ID, PO reference, contents, quantity, ship date, expected arrival, carrier, tracking number","Procore (workforce.materials_shipment — NOT READY), supplier portals, freight tracking systems","None (Not Ready) — workforce.materials_shipment exists but is not available. When ready, it links POs to delivery tracking.","Shipment-to-delivery time; late shipment rate; shipments per PO","NOT READY. Currently, delivery tracking relies on daily_log_delivery (what arrived) and submittals with required_on_site_date (what was expected). The gap between expected and actual delivery is critical for material shortage detection."
Materials & Deliveries,Material Receipt Record,"Formal acknowledgment that materials arrived on site matching the purchase order — quantity verification, condition inspection, and storage location. More structured than the delivery log (which is a field observation). Receipt records are the procurement system's confirmation of delivery.","No universal standard; PO terms govern acceptance","Receipt ID, PO reference, item, quantity ordered, quantity received, condition, storage location, received_by","Procore (workforce.materials_receipt — NOT READY), ERP material modules, paper receiving tickets","None (Not Ready) — workforce.materials_receipt exists but is not available. When ready, it closes the PO-to-delivery loop.","Receipt-to-PO match rate; damaged/short shipment rate; time from receipt to installation","NOT READY. The delivery log is currently the only signal for material arrival. Structured receipt data would enable quantity verification and damage tracking."
"--- WEATHER: conditions that affect work and drive delays ---",,,,,,,,
Weather,Weather Log Entry,"Daily record of observed weather conditions on the project site — temperature, precipitation, wind, sky conditions, humidity, ground conditions, and whether weather caused a delay. Multiple readings may be taken throughout the day. Both qualitative descriptions (from superintendent) and measured values (from weather stations or manual readings) are captured.","No universal standard; contract-specific weather provisions; NOAA data for verification","One entry per day (or multiple time periods); temperature (descriptive + measured high/low/avg), precipitation (descriptive + measured since midnight), wind (descriptive + measured avg/gust/max), sky (clear, partly cloudy, overcast, etc.), ground (dry, wet, muddy, frozen, snow), humidity (avg/high/low), is_weather_delay (boolean), calamity (storm events), comments","Procore (daily_log_observed_weather_condition), NOAA weather data, Davis weather stations, manual field observation","High — daily_log_observed_weather_condition is one of the most structured daily log tables. Fields: sky (STRING), temperature (STRING descriptive), precipitation (STRING descriptive), wind (STRING descriptive), ground (STRING), calamity (STRING), is_weather_delay (BOOLEAN), comments (STRING). Measured values: measured_temperature_high/low/average (INT), measured_precipitation_since_midnight (DOUBLE), measured_wind_speed_average/gust/max (DOUBLE/INT), measured_humidity_low (INT), average_humidity (INT), maximum_humidity (INT), average_dewpoint (INT). weather_logs_date (DATE).","Weather delay frequency; precipitation days per project; temperature extremes by month; weather delay rate by geography; is_weather_delay correlation with schedule slip","Richest weather dataset in construction software. Dual signal: qualitative superintendent observations + quantitative measured values. is_weather_delay is a structured boolean — the primary weather-delay signal. Cross-domain: weather drives daily_log_delay entries (delay_type = 'Weather'), affects productivity rates, and is the most common excusable delay claim basis. NOAA data can validate superintendent observations for dispute resolution."
"--- DELAYS: what stopped or slowed work and for how long ---",,,,,,,,
Delays,Delay Log Entry,"Record of a delay event during construction — structured type, duration, start/end time, comments, and location. Delay entries document when work was stopped or significantly slowed and why. The delay_type field is a structured enum with both standard categories and company-defined custom values. Duration is in days (or fractional days). This is the primary delay tracking mechanism in field operations.","AACE 29R-03 (Forensic Schedule Analysis), AIA A201 §15.1.6 (Claims for Additional Time), contract-specific delay provisions","delay_type values (structured enum): Weather, Existing Conditions, Material, Owner Directive, Non-Conformance, Safety Event, Quality, Equipment + custom company-defined values. Duration: median 5.0 days for Material delays. Start/end time for partial-day delays.","Procore (daily_log_delay), P6 (delay activities — less structured), paper delay logs","High — daily_log_delay table is highly structured. Fields: delay_type (STRING — structured enum, primary categorization), duration (DOUBLE), start_time (STRING), end_time (STRING), comments (STRING — 98.8% populated on Material delays), daily_log_entries_date (DATE), location_id, vendor_name. 84K records for Material type alone, 4,351 cos.","Delay days by type; delay frequency by project type/geography; material delay rate; weather delay days per month; delay cost (delay days × daily general conditions rate)","The strongest structured delay signal in Procore — delay_type is a structured enum requiring zero NLP. Material delays (84K records, 4,351 cos) validated as primary signal for material shortage detection. Cross-domain: LINKED_TO weather (delay_type = 'Weather' correlated with is_weather_delay), schedule (delay days affect critical path), financial (delay days × daily GC rate = delay cost), and claims (delay logs are primary evidence for time extension requests)."
"--- PRODUCTIVITY & QUANTITIES: how much work was completed ---",,,,,,,,
Productivity & Quantities,Productivity Log Entry,"Daily record of quantities delivered and used/installed — tracks material flow from delivery to installation by vendor and commitment line item. Captures previously_delivered, previously_used, quantity_delivered (today), and quantity_used (today). Links to commitments for scope tracking. Measures the rate at which paid work is being installed.","No universal standard; earned value concepts per PMI PMBOK","One entry per vendor/item/day; quantity_delivered (today), quantity_used (today), previously_delivered, previously_used, commitment_id, commitment_line_item_id, vendor_id, notes","Procore (daily_log_productivity), Rhumbix, HCSS, paper logs","Low — daily_log_productivity table exists and is structured but has very low adoption (622 cos as of validation). Fields: quantity_delivered (DECIMAL), quantity_used (DECIMAL), previously_delivered, previously_used, commitment_id (LONG), commitment_line_item_id (LONG), vendor_id (LONG), notes, productivity_logs_date (DATE).","Installed quantity per day; cumulative installed vs. planned; productivity rate by trade; delivery-to-installation lag","Extremely low adoption (622 cos) limits benchmarking value. When populated, provides the strongest earned-value signal in field operations — directly links installed quantities to commitments. Cross-domain: feeds earned value analysis (% complete based on quantities) and resource productivity metrics. The low adoption makes daily_log_manpower (man-hours) a more reliable proxy for productivity."
Productivity & Quantities,Quantity Log Entry,"Daily record of installed quantities by cost code — quantity, unit of measure, description, and cost code. Distinct from productivity log (which tracks vendor-level delivery and installation). Quantity logs measure what was put in place by cost code — closer to a field-measured percent complete for budget line items.","No universal standard; analogous to field-measured quantities for earned value","One entry per cost code/day; quantity (DOUBLE), unit (STRING — LF, SF, CY, EA, etc.), description (STRING), cost_code_id, cost_code_name, location_id, vendor_name","Procore (daily_log_quantity), field measurement logs, paper quantity sheets","Medium — daily_log_quantity table is structured with quantity, unit, and cost_code linkage. Fields: quantity (DOUBLE), unit (STRING), description (STRING), cost_code_id (LONG), cost_code_name (STRING), location_id (LONG), quantity_logs_date (DATE). Adoption higher than productivity log but still not universal.","Installed quantities per cost code per day; cumulative quantities vs. budget; unit rate (quantity / man-hours)","More adoption than daily_log_productivity but still sporadic. cost_code linkage is the key value — enables quantity-based percent complete by budget line item. Cross-domain: feeds Financial Instruments (budget line item % complete), Schedule (earned value from quantities), and Resources (unit productivity rates)."
"--- SAFETY: field-level safety observations, violations, and incidents ---",,,,,,,,
Safety,Safety Violation Log Entry,"Daily log record of a safety violation observed during field walkthroughs — subject, comments, issued_to (person or company), compliance_due date, and safety_notice type. Lighter weight than a formal observation or incident — this is the superintendent's daily safety diary. Subject field is often generic ('None', 'N/A') or brief.","OSHA 29 CFR 1926 (Construction Safety Standards), company safety programs","One entry per violation/day; subject (STRING — 66% null per validation), comments (STRING), issued_to (STRING — person name), vendor_name (STRING — no FK), compliance_due (DATE), safety_notice (STRING — notice type), time","Procore (daily_log_safety_violation), iAuditor/SafetyCulture, paper violation notices","Medium — daily_log_safety_violation table exists and is Ready. Fields: subject (STRING — 66% null), comments (STRING), issued_to (STRING), vendor_name (STRING — free text, no FK), compliance_due (DATE), safety_notice (STRING), safety_violation_logs_date (DATE). Structured but data quality is poor — subject mostly generic.","Safety violation frequency per project; violations by vendor; compliance due date adherence; repeat violation rate","Validated as UNUSABLE for recurrence tracking (insight #11) — subject 66% null, mostly noise. vendor_name is free text with no FK, preventing reliable trade attribution. Better safety signals come from observation.hazard_name (structured OSHA taxonomy) and inspection_items (structured status). Keep for volume metric but don't rely on for detailed analysis."
Safety,Accident Log Entry,"Daily log record of an accident or safety event — involved person, involved company, time, comments, and location. This is the field-level first report — the formal incident record (project_management.incident, incident_record) provides the detailed OSHA-reportable information. Accident log entries are the superintendent's immediate documentation.","OSHA 29 CFR 1904 (Recording and Reporting), OSHA 300/300A/301 forms","One entry per event/day; involved_name (STRING), involved_company (STRING), time (STRING), comments (STRING), accident_logs_date (DATE)","Procore (daily_log_accident), incident management systems, paper first reports","Medium — daily_log_accident table is structured but lightweight. Fields: involved_name (STRING), involved_company (STRING), comments (STRING), time (STRING), accident_logs_date (DATE). The full incident detail is in incident/incident_record tables.","Accident frequency; accidents by company; time-of-day distribution","Lightweight first report — the formal incident system (incident, incident_record, incident_action) provides the detailed analysis data including injury type, body part, recordability, and corrective actions. Cross-domain: accident log entries should link to formal incidents, but no direct FK exists in the daily log table."
"--- INSPECTIONS: field-level daily inspections recorded in the log ---",,,,,,,,
Inspections,Daily Log Inspection Entry,"Inspection event recorded as part of the daily log — inspecting entity, inspection type, inspector name, start/end time, and comments. Captures regulatory and third-party inspections that happen during the day (fire marshal visit, concrete testing, structural steel inspection, utility inspection). Distinct from the formal inspections tool (project_management.inspections) which has structured checklists and line items.","Building code inspection requirements, OSHA, project specifications","One entry per inspection event/day; inspection_type (STRING — 'Structural', 'Concrete', 'Electrical', 'Fire Protection', 'MEP', etc.), inspecting_entity (STRING — 'City', 'Fire Marshal', 'Third Party', company name), inspector_name (STRING), start/end times, comments, area","Procore (daily_log_inspection), inspector reports, regulatory portals","Medium — daily_log_inspection table is structured. Fields: inspection_type (STRING), inspecting_entity (STRING), inspector_name (STRING), start (STRING), end (STRING), comments (STRING), area (STRING), location_id (LONG), inspection_logs_date (DATE). Adoption varies by project.","Daily inspection count; inspections by type; inspection pass/fail (from comments, not structured); regulatory inspection frequency","Records the OCCURRENCE of an inspection, not the detailed results. The formal inspections tool (inspections + inspection_items) provides structured pass/fail with checklist items. Cross-domain: daily log inspection entries document when inspections happened; the inspections tool documents what was found. Both are needed for complete inspection tracking."
"--- VISITORS: who was on site that isn't part of the project team ---",,,,,,,,
Visitors,Visitor Log Entry,"Daily record of non-project visitors on the construction site — visitor identity, purpose, arrival/departure times, and comments. Required for site security, safety compliance (visitors must be briefed on site hazards), and liability documentation. Visitors include owners, architects, inspectors, utility representatives, and unauthorized persons.","OSHA general duty clause (site safety for visitors), company safety policies, contract terms for site access","One entry per visitor/day; subject (STRING — visitor name or purpose), details (STRING — visit description), start/end (STRING — arrival/departure), vendor_name (STRING), visitor_logs_date (DATE)","Procore (daily_log_visitor), site access control systems, paper sign-in sheets","Medium — daily_log_visitor table is structured. Fields: subject (STRING), details (STRING), start (STRING), end (STRING), vendor_name (STRING — not a true vendor, often the visitor's organization), visitor_logs_date (DATE). Adoption varies.","Visitor count per day; visitor types (owner visits, architect visits, inspector visits); visitor frequency over project lifecycle","Visitor patterns reveal project dynamics — frequent owner visits during finishes indicate engaged clients. Architect visit frequency correlates with design issue volume. Inspector visits cluster around milestones. vendor_name field is repurposed for visitor organization (not a true vendor FK). Low analytics value individually, but visitor patterns + other signals can indicate project phase transitions."
"--- WASTE & ENVIRONMENTAL: construction waste tracking and disposal ---",,,,,,,,
Waste & Environmental,Waste Log Entry,"Daily record of construction waste generated and removed — material type, quantity, disposal method, disposal location, and vendor. Tracks what waste was produced, how much, and where it went. Required for environmental compliance (LEED waste diversion, stormwater compliance) and cost tracking (dumpster rental, hauling costs).","LEED MR Credit (Construction Waste Management), EPA RCRA (hazardous waste), local waste regulations","One entry per waste event/day; material (STRING — 'Concrete rubble', 'Drywall scrap', 'Mixed C&D', 'Hazardous'), approximate_quantity (DOUBLE), method_of_disposal (STRING — 'Recycling', 'Landfill', 'Hazmat disposal'), disposal_location (STRING), description (STRING), vendor_name, time","Procore (daily_log_waste), waste hauler records, LEED tracking spreadsheets","Medium — daily_log_waste table is structured. Fields: material (STRING — waste material type), approximate_quantity (DOUBLE), method_of_disposal (STRING), disposal_location (STRING), description (STRING), vendor_id (LONG), vendor_name, waste_logs_date (DATE). Adoption varies by project and sustainability requirements.","Waste volume per project; waste diversion rate (recycled / total); waste by material type; waste cost per SF","Increasingly important for sustainability reporting. LEED MR credit requires 50-75% waste diversion. material field describes the waste type — enables diversion analysis. Cross-domain: feeds sustainability metrics, environmental compliance documentation, and cost tracking (waste hauling costs as direct costs)."
Waste & Environmental,Dumpster Log Entry,"Daily record of dumpster activity — dumpsters delivered and removed from the site. Tracks the containers, not the waste contents (that's the waste log). Dumpster management is a general conditions cost item. Multiple dumpsters may be on site simultaneously for different waste streams (mixed C&D, concrete, metal, cardboard).","No standard; general conditions management","One entry per dumpster event/day; quantity_delivered (INT — dumpsters in), quantity_removed (INT — dumpsters out), comments, vendor_name (hauling company), dumpster_logs_date (DATE)","Procore (daily_log_dumpster), waste hauler records","Medium — daily_log_dumpster table is structured. Fields: quantity_delivered (INT), quantity_removed (INT), comments (STRING), vendor_name (STRING), vendor_id (LONG), dumpster_logs_date (DATE). Simple but functional.","Dumpsters per week; dumpster turnover rate; dumpster cost per month","Operational metric. High dumpster turnover during demolition and interior rough-in. Dumpster rental and hauling is a significant general conditions line item — typically $500-1,500 per pull. Cross-domain: feeds general conditions cost analysis."
"--- SCHEDULED WORK: what was planned to happen today vs. what actually happened ---",,,,,,,,
Scheduled Work,Scheduled Work Log Entry,"Daily record of subcontractors scheduled to work — whether they showed up, how many workers, hours, and what tasks they were assigned to. The 'showed' boolean is the simplest plan-vs-actual signal in field operations. Scheduled work entries link to schedule tasks (via daily_log_scheduled_work_task) connecting the daily log to the CPM schedule.","No universal standard; good practice per lean construction / Last Planner System","One entry per vendor/day; resource_name (STRING — sub name), showed (BOOLEAN — did they show up?), workers (INT), hours (DOUBLE), task_names (STRING — comma-separated task descriptions), hourly_rate (DOUBLE), reimbursable (BOOLEAN), comments, vendor_name","Procore (daily_log_scheduled_work), Last Planner boards, Excel lookaheads","High — daily_log_scheduled_work table is structured with the critical 'showed' boolean. Fields: resource_name (STRING), showed (BOOLEAN), workers (INT), hours (DOUBLE), task_names (STRING), hourly_rate (DOUBLE), reimbursable (BOOLEAN), comments (STRING), work_logs_date (DATE), vendor_id, vendor_name, daily_log_completion_id.","Plan percent complete (showed = true / total scheduled); no-show rate by vendor; actual vs. scheduled workers; scheduled work utilization rate","The showed boolean is the Last Planner System's 'PPC' (Percent Plan Complete) equivalent — did the scheduled work happen? No-show rate by vendor is a reliability signal. task_names provides the planned activity description. Cross-domain: LINKED_TO schedule tasks via daily_log_scheduled_work_task, which provides schedule_task_id FK for direct CPM linkage."
Scheduled Work,Scheduled Work Task Link,"Junction record linking a scheduled work entry to one or more CPM schedule tasks — the bridge between 'what was planned today' (daily log) and 'what the schedule says' (CPM). Each link captures the task name, current percentage, and schedule_task_id FK to the formal schedule. Enables daily plan-vs-actual at the activity level.","No standard; unique Procore construct","One entry per task per scheduled work entry; task_name (STRING), task_percentage (INT), schedule_task_id (LONG FK to schedule_task), task_row_number","Procore (daily_log_scheduled_work_task)","High — daily_log_scheduled_work_task table exists with schedule_task_id (LONG) FK to the schedule. Fields: task_name, task_percentage (INT), schedule_task_id, daily_log_scheduled_work_id (FK to parent).","Task-level plan-vs-actual; daily percent complete updates; schedule activities with field confirmation","The critical bridge between field operations and schedule. schedule_task_id links directly to schedule_task (legacy) or scheduling_activity (new). No equivalent in P6 — this is Procore-native field-to-schedule linkage. Cross-domain: the primary LINKED_TO path from Field Operations to Schedule taxonomy."
