Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
Model Elements & Properties,Model Properties & Parameters,"The non-geometric data attached to model elements — manufacturer, model number, fire rating, acoustic rating, energy performance, warranty period, maintenance requirements, and other attribute data. Model properties make BIM more than geometry — they carry the information needed for specification compliance, facility management, and lifecycle analysis. COBie (Construction Operations Building Information Exchange) is the standard format for extracting model properties for facility handover.","COBie (Construction Operations Building Information Exchange); IFC property sets; Revit shared parameters; ISO 19650 information requirements","Manufacturer, Model Number, Fire Rating, Acoustic Rating, U-Value, Finish, Color, Warranty Period, Maintenance Interval, Commissioning Status","Revit (shared/project parameters); COBie export tools; asset management systems (Archibus, FM:Systems); Maximo","None — model properties are not stored in Procore. Some properties may appear in submittal data (product data submittals) or specification sections, but the structured model property data lives in BIM tools.",Compare model property completeness (% of elements with required COBie data) across project types,"Model properties are the data pipeline to facility management. Complete model properties at handover eliminate the need for the owner to manually catalog building assets. Cross-domain: properties map to specification requirements (Documents), maintenance needs (post-construction Phases), and equipment data."
"--- COORDINATION & CLASH DETECTION: using models to identify and resolve spatial conflicts ---",,,,,,,,
Coordination & Clash Detection,Clash Detection Result,"An identified spatial conflict between model elements from different disciplines — a pipe running through a beam, a duct intersecting a structural column, or conflicting MEP routes. Clash detection is automated (Navisworks, Solibri) and produces clash reports with geometry, location, and the involved elements/disciplines. Clashes must be resolved before construction to avoid field rework. Types: hard clash (physical intersection), soft clash (clearance violation), workflow clash (sequencing conflict).","BIM Execution Plan clash detection protocols; AGC BIMForum coordination guidelines","Hard Clash (physical intersection), Soft Clash (clearance/tolerance violation), Workflow Clash (sequence conflict); Status: New, Active, Reviewed, Resolved, Approved","Navisworks (Autodesk); Solibri; BIM Track; BIM Collab; Trimble Connect; BIM 360 Glue","None — Procore does not perform or store clash detection results. Clash findings that require action become coordination issues (which ARE in Procore).",Compare clash counts per discipline pair and resolution time across project types to benchmark coordination effectiveness,"Clash detection results are the input — coordination issues are the output. Not all clashes become coordination issues (many are resolved in the coordination meeting). Clash volume by discipline pair (structural-mechanical, electrical-plumbing) reveals design coordination quality."
Coordination & Clash Detection,Coordination Issue,"A design or constructability problem identified during BIM coordination review — the actionable output of clash detection and model review. Key properties: issue_type (structured: Clash, Coordination, Design Review, Constructability, Requirement Change, Existing Condition, Client Feedback, Building Code, Other), trade (free text — NOT standardized), status, priority, rfi_header_id (links to RFIs). 17,999 design-typed issues across 327 companies. 4,967 linked to RFIs via rfi_header_id across 204 companies. Lifecycle: Identified → Under Review → Resolved → Closed.","AIA E203; BIM Execution Plan coordination procedures; AGC BIMForum","Clash, Coordination, Design Review, Constructability, Requirement Change, Existing Condition, Client Feedback, Building Code, Other","Procore; BIM Track; BIM Collab; Navisworks; Solibri","High — coordination_issue table with structured issue_type, status, priority, and rfi_header_id linkage. READY.",Compare coordination issue density (issues per $M) and resolution time by issue_type across project types,"coordination_issue.trade is free text, NOT standardized ('Plumbing' vs '22 Plumbing'). MEP-heavy. Design-typed issues (Design Review, Constructability, Requirement Change) are a signal for design-related change impact (insight #31). Cross-domain: links to RFIs (Documents), change events (Financial Instruments)."
Coordination & Clash Detection,BIM Coordination Meeting,"A regular team meeting where designers, trade contractors, and the GC review the federated model, resolve clashes, and make coordination decisions. Typically weekly during design and early construction. Decisions made in coordination meetings drive RFIs, change events, and revised drawings. Meeting records capture decisions and action items. The coordination meeting is the workflow — clash detection and coordination issues are the inputs/outputs.","AIA E203 (BIM coordination requirements); BIM Execution Plan meeting cadence; AGC coordination protocols","Weekly coordination meeting, Discipline-specific coordination (MEP-only, structure-MEP), Prefab coordination session, Owner coordination review","Procore (meeting records); BIM Track; BIM Collab; Teams/Zoom recordings; meeting minutes","Medium — meetings tracked through Procore meeting tool (meeting, meeting_item tables). Coordination-specific meetings are a subset. Meeting items capture action items and decisions.",Compare BIM coordination meeting frequency and action item closure rate across project types,"Coordination meeting cadence and effectiveness directly predict field rework rates. Projects with weekly coordination have fewer field clashes than those with ad-hoc coordination. Cross-domain: meeting records (Documents), action items may become RFIs or coordination issues."
"--- REALITY CAPTURE: digital documentation of physical conditions ---",,,,,,,,
Reality Capture,Point Cloud / Laser Scan,"3D spatial data captured by terrestrial or mobile laser scanning — represents existing conditions or as-built geometry as millions of measured points. Used for: existing conditions documentation (renovation), as-built verification (comparing model to field), progress monitoring (scan-to-BIM), and quality control (dimensional tolerance checking). Scan-to-BIM workflows convert point clouds into model elements.","ASTM E57 (3D Imaging Data Exchange); USIBD Level of Accuracy (LOA) Specification; AIA E203","Terrestrial LiDAR scan, Mobile mapping scan, Handheld scan; Point density: 1mm–10mm typical; Registration accuracy: ±2mm","Leica (BLK360, RTC360); Faro (Focus); Trimble (X7, X12); Matterport; NavVis; processing software (Leica Cyclone, Faro Scene, CloudCompare)","None — Procore does not store or process point cloud data. Scan data is managed in specialized software. Scan results may be referenced in observations or coordination issues.",Compare laser scan adoption rates and scan-to-BIM conversion coverage across project types,"Point clouds bridge the physical site to the digital model. As-built verification via scan-to-model comparison reveals construction quality and dimensional accuracy. Cross-domain: point clouds verify Building Elements, support as-built Documentation, and enable quality control."
Reality Capture,360 Photo / Spherical Capture,"Spherical photographs taken at regular intervals throughout the project — creates an immersive, navigable visual record of site conditions over time. Captured on a regular schedule (daily, weekly, or at milestones) and organized by location and date. Enables remote site walks, progress tracking, and dispute documentation. The visual evidence layer for quality and safety records.","No universal standard; company-specific documentation protocols","Weekly capture, Milestone capture, Floor-by-floor documentation, Pre-cover documentation, Completion documentation","OpenSpace; Matterport; Holobuilder; Cupix; Procore (photo table); 360 cameras (Ricoh Theta, Insta360)","Medium — photo table captures photo records with location, date, trade, category. 360 photos stored as standard photos in Procore but without native 360 viewing or progress comparison features.",Compare 360 photo documentation frequency and coverage (% of building captured) across project types,"360 photos are the fastest-growing reality capture method in construction — lower cost and faster than laser scanning. Linked to location (Locations domain) and time (Phases). Progress comparison (before/after) supports quality verification and dispute resolution."
Reality Capture,Drone Capture,"Aerial photography, videography, photogrammetry, and LiDAR data captured by unmanned aerial vehicles (UAVs) — provides site-level documentation, earthwork volume calculations, progress monitoring, and safety surveillance. Drone data includes orthomosaic maps (stitched overhead images), 3D terrain models, and volumetric calculations for cut/fill earthwork tracking.","FAA Part 107 (commercial drone operations); company drone programs; ASTM standards for UAS in construction","Orthomosaic (stitched aerial photo), 3D terrain model, Volumetric calculation (cut/fill), Progress photo/video, Thermal imaging, Safety surveillance","DJI drones; DroneDeploy; Propeller Aero; Skydio; Pix4D; Procore (photos uploaded from drone)","Low — drone photos uploaded to Procore as standard photos. No dedicated drone capture table or volumetric analysis. The analytical value (volumes, terrain models) lives in drone processing platforms.",Compare drone capture frequency and earthwork volume tracking accuracy across project types,"Drone captures are most valuable for site/earthwork projects (infrastructure, heavy civil) where volumetric tracking replaces manual survey. Cross-domain: earthwork volumes connect to Financial Instruments (pay-for-quantity) and Building Elements (Site & Earthwork)."
Reality Capture,Construction Photo,"A standard photograph documenting site conditions, progress, quality issues, safety observations, or completed work — the most fundamental visual record in construction. Photos are attached to observations, punch items, inspections, daily logs, and RFIs as supporting evidence. Key properties: title, description, location, date, trade, category. Extremely high volume — thousands per project.","Company documentation protocols; contract-required photography","Progress photos (daily/weekly), Quality documentation, Safety documentation, Pre-cover photos, Completion photos, Issue documentation (attached to observations, punch items)","Procore; PlanGrid; Fieldwire; BIM 360 Field; smartphone cameras; dedicated construction cameras (OxBlue, EarthCam)","High — photo table with structured metadata (title, description, location, date, trade, category). READY. Very high volume and adoption.",Compare photo documentation rate (photos per day or per $M) across project types and companies,"Photos are the visual evidence layer for nearly all UCDM record types. A single observation or punch item may have 5–10 attached photos. Photo volume and consistency indicate documentation discipline. Cross-domain: attached to Quality & Safety Records, Documents, Field Operations."
"--- VISUALIZATION & COMMUNICATION: model-based tools for planning and communication ---",,,,,,,,
Visualization & Communication,Model-Based Drawing,"A 2D drawing view generated from or linked to a 3D BIM model — plans, sections, elevations, and details extracted from the model rather than drawn independently. Model-based drawings maintain a live link to the model — when the model changes, the drawing updates. This is the primary output mechanism for BIM during construction (contractors still work from 2D drawings, not 3D models). Drawing sheets in Procore track revisions to these outputs.","NCS (National CAD Standard); AIA drawing numbering conventions; company sheet organization standards","Plans, Sections, Elevations, Details, Schedules (door/window/finish), 3D views, Isometrics (MEP)","Revit (sheet views); AutoCAD; Bluebeam; Procore (drawing_revision table tracks issued sheets)","High — drawing_revision table tracks all revisions with discipline, number, revision number, and dates. Widely adopted. This is Procore's primary interface to the BIM model output.",Compare drawing revision frequency and late-stage revision rate (post-IFC) across project types and disciplines,"Model-based drawings are the bridge between 3D models and 2D construction documents. The drawing_revision table in Procore captures the output of BIM authoring — revision frequency by discipline reveals design stability. Cross-domain: drawings are referenced by RFIs, submittals, observations, and punch items."
Visualization & Communication,Digital Twin,"A living digital representation of the building that combines the as-built BIM model with real-time sensor data, maintenance records, and operational information — the post-construction evolution of BIM. Updated continuously during operations. Digital twins enable predictive maintenance, energy optimization, and space management. Currently an emerging technology with limited construction-phase application.","ISO 23247 (Digital Twin Manufacturing); buildingSMART Digital Twin; ASHRAE BIM-to-FM guidelines","Asset twin (equipment-level), Building twin (systems-level), Campus twin (portfolio-level); Static (as-built snapshot) vs. Dynamic (real-time sensor feeds)","Autodesk Tandem; Bentley iTwin; Microsoft Azure Digital Twins; Siemens; Willow; Invicara","None — Procore does not support digital twins. The as-built model and COBie data from Procore's closeout process may feed INTO a digital twin platform, but the twin itself lives elsewhere.",Compare digital twin adoption rates across building types and owner types,"Digital twins are primarily an owner/facility management technology — construction's role is delivering the as-built model and data that feeds the twin. Cross-domain: digital twins consume data from Building Elements, Phases (commissioning), and Documents (O&M manuals). Adoption concentrated in healthcare, data centers, and large commercial."
"--- STANDARD MEASURES: KPIs derived from Models & BIM domain entities ---",,,,,,,,
Standard Measures,Coordination Issue Density,"Number of coordination issues per million dollars of project value — measures the volume of BIM-identified spatial and design conflicts relative to project size. Higher density may indicate more thorough coordination (good) or more design problems (bad) — context from resolution rate and issue_type distribution is needed for interpretation. Calculated: COUNT(coordination_issues) / (project total_value / 1,000,000). Segmented by project_type and issue_type.","No universal standard; internal benchmarking","Issues per $M; typical range varies widely by project type and coordination maturity","Procore (coordination_issue table)","High — coordination_issue table with structured issue_type, status, project linkage. READY.",Benchmark coordination thoroughness and design quality across project types,Cross-domain: coordination issue density correlates with rework cost (Financial Instruments) and change event volume.
Standard Measures,Coordination Issue Resolution Time,"Average days from coordination issue creation to resolution — measures how quickly spatial and design conflicts are resolved. Faster resolution = less downstream delay. Segmented by issue_type (Clash vs. Design Review vs. Constructability) and trade. Calculated: AVG(DATEDIFF(resolved_date, created_date)).","No universal standard; internal benchmarking","Days to resolution; typical range 3–30 days depending on complexity","Procore (coordination_issue table)","High — coordination_issue table has created_at and status timestamps. READY.",Benchmark coordination workflow efficiency across project types and issue types,Long resolution times on Clash issues signal coordination bottlenecks. Design Review issues take longer by nature. Cross-domain: unresolved issues may escalate to RFIs (Documents) or change events (Financial Instruments).
Standard Measures,Clash Resolution Rate,"Percentage of identified clashes resolved before construction start — measures pre-construction coordination effectiveness. Higher rate = fewer field conflicts. Calculated: COUNT(coordination_issues WHERE status = 'Closed' AND issue_type = 'Clash' AND resolved_date < construction_start) / COUNT(coordination_issues WHERE issue_type = 'Clash'). Requires schedule phase data for cutoff.","No universal standard; target >90% pre-construction resolution","Percentage; industry best practice targets 90-95% pre-construction resolution","Procore (coordination_issue table, project schedule dates)","Medium — coordination_issue status and dates are available, but distinguishing pre-construction vs. during-construction resolution requires schedule phase integration not natively linked.",Benchmark pre-construction coordination quality and predict field rework risk,Unresolved pre-construction clashes predict field rework. Cross-domain: unresolved clashes → field conflicts → change events (Financial Instruments) → rework cost (insight #1).
Standard Measures,Drawing Revision Frequency,"Number of drawing revisions issued per drawing set per month — measures design stability and churn. High revision frequency late in the project signals design instability and increases rework risk. Calculated: COUNT(drawing_revisions) / COUNT(DISTINCT drawing sets) / months. Segmented by discipline and project phase.","No universal standard; contract-defined revision cadence","Revisions per drawing per month; typical range 0.5–3.0 depending on phase","Procore (drawing_revision table)","High — drawing_revision table tracks all revisions with discipline, number, and dates. READY.",Benchmark design stability and identify high-churn disciplines across project types,Late-stage revisions (post-IFC) are particularly costly — they often drive RFIs and change events. Cross-domain: drawing revisions trigger RFIs (Documents) and change events (Financial Instruments).
Standard Measures,Photo Documentation Rate,"Number of construction photos documented per day or per million dollars — measures visual documentation discipline and thoroughness. Higher rates indicate more rigorous field documentation. Calculated: COUNT(photos) / construction_duration_days or COUNT(photos) / (total_value / 1,000,000). Segmented by project_type.","No universal standard; company documentation policies","Photos per day; typical range varies widely (10–100+ per day on active projects)","Procore (photo table)","High — photo table with structured metadata. Very high volume and adoption. READY.",Benchmark documentation discipline and identify under-documented projects,Photo documentation rate correlates with quality record completeness — projects with high photo rates tend to have better observation and punch item documentation. Cross-domain: photos attach to Quality & Safety Records and Documents.
Standard Measures,BIM Coordination Adoption Score,"A composite measure of BIM coordination maturity based on: (1) whether coordination_issues exist, (2) issue volume relative to project size, (3) issue_type diversity (Clash + Design Review + Constructability), (4) resolution rate, (5) RFI linkage rate. Produces a score from 0-100 representing how thoroughly a project uses BIM coordination. Requires thresholds from benchmarking.","No universal standard; internal maturity model","Score 0-100; Low (0-30), Moderate (31-60), High (61-80), Advanced (81-100)","Procore (coordination_issue table, rfi linkage via rfi_header_id)","Medium — all component data is available in Procore, but the composite score requires derived calculation across multiple fields and benchmarking thresholds not natively computed.",Benchmark BIM coordination maturity across companies and project types,Composite score enables apples-to-apples comparison of BIM coordination usage. Companies with higher scores likely have lower rework rates. Cross-domain: aggregates data from coordination issues and RFIs to assess process maturity.
