ucdm_element,ucdm_code,section,databricks_table,key_columns,primary_key,gold_ready,join_path_to_projects,critical_gotcha
Potential Change Order (CPCO),fi-cpco,Change Management,finance.commitment_potential_change_orders,"commitment_potential_change_order_id, commitment_id, commitment_change_order_id, title, status",commitment_potential_change_order_id,N,via commitments.project_id,"Bridge: CE→CPCO→CCO. commitment_change_order_id 89.5% populated. CPCO LINE ITEMS table NOT in gold."
Commitment Change Order (CCO),fi-cco,Change Management,finance.commitment_change_orders,"commitment_change_order_id, commitment_id, project_id, change_reason, status, grand_total, title",commitment_change_order_id,N,commitment_change_orders.project_id = projects.project_id,"change_reason is TITLE CASE ('Design Development'). Always LOWER() for comparison. grand_total is cost column. Status: Approved 96.7%. CCOs exist WITHOUT CEs. No direct CE FK."
CCO Line Item,fi-cco-line,Change Management,finance.commitment_change_order_line_items,"commitment_change_order_line_item_id, commitment_change_order_id, wbs_code_id, extended_amount, description, commitment_potential_change_order_id",commitment_change_order_line_item_id,N,via commitment_change_orders.project_id,"wbs_code_id EXISTS directly (Q15 was wrong). extended_amount for cost. commitment_potential_change_order_id 100% populated. NO change_event_id FK."
Owner Change Order,fi-owner-co,Change Management,finance.prime_contract_change_orders,"prime_contract_change_order_id, prime_contract_id, title, status, project_id",prime_contract_change_order_id,N,prime_contract_change_orders.project_id = projects.project_id,"NOT READY. Owner COs change GC revenue not sub cost. Lower adoption than commitment-side COs."
Budget Modification,fi-budget-mod,Change Management,finance.budget_modifications,"budget_modification_id, project_id, transfer_amount, notes, wbs_code_id",budget_modification_id,N,budget_modifications.project_id = projects.project_id,"transfer_amount NOT 'amount'. notes NOT 'description'. wbs_code_id is direct (no hop). 339 cos with rework-coded mods."
Direct Cost,fi-direct-cost,Cost Tracking,finance.direct_costs,"direct_cost_id, project_id, vendor_id, description, invoice_number",direct_cost_id,Y,direct_costs.project_id = projects.project_id,"Non-commitment expenses. 15-30% of project cost depending on self-perform scope."
Direct Cost Line Item,fi-direct-cost-line,Cost Tracking,finance.direct_cost_line_items,"direct_cost_line_item_id, direct_cost_id, wbs_code_id, description, amount",direct_cost_line_item_id,Y,via direct_costs.project_id,"Description keywords: 'rework' 'repair' 'correction' 'redo'. $500M rework via NLP. wbs_code_id → building system."
Owner Invoice,fi-owner-invoice,Billing & Payment,finance.owner_invoices,"owner_invoice_id, project_id, status, billing_date",owner_invoice_id,Y,owner_invoices.project_id = projects.project_id,"Pay app amount ≠ project cost — it's billing. Monthly cycle. Workflow tables enable processing time calc."
Subcontractor Invoice,fi-sub-invoice,Billing & Payment,finance.subcontractor_invoices,"subcontractor_invoice_id, commitment_id, project_id, status, billing_date",subcontractor_invoice_id,Y,subcontractor_invoices.project_id = projects.project_id,"Mirrors pay apps in opposite direction. Line items NOT ready in gold. Processing time = vendor relations KPI."
Retainage,fi-retainage,Billing & Payment,"(embedded in invoice tables)",,N/A,partial,"via invoice tables","No dedicated table. Tracked within owner_invoices and subcontractor_invoices. NOT a cost — it's withheld payment."
Payment,fi-payment,Billing & Payment,"finance.payments_issued, payments_received, payments_disbursements, payments_agreements","payment_id, amount, date, project_id",varies,Y,payments_*.project_id = projects.project_id,"Multiple tables cover payment lifecycle. Pay-when-paid clauses cascade delays."
Lien Waiver,fi-lien-waiver,Billing & Payment,finance.payments_lien_waivers,"payment_lien_waiver_id, project_id",payment_lien_waiver_id,Y,payments_lien_waivers.project_id = projects.project_id,"4 types × subs × billing periods = hundreds per project. Missing waivers block final payment."
Schedule of Values (SOV),fi-sov,Financial Classification,(embedded in commitment/billing structure),,N/A,N,"via commitments","No dedicated table. SOV is BILLING structure not cost structure. Front-loading distorts % complete."
Allowance,fi-allowance,Financial Classification,(via budget_codes),,N/A,N,"via budget_line_items","No dedicated tracking. Managed via budget codes. Exceeded allowances become COs."
Contingency,fi-contingency,Financial Classification,(via budget_line_items + budget_codes),,N/A,N,"via budget_line_items","Not a cost — it's a RESERVE. Burn rate > % complete = red flag. Requires manual identification of contingency lines."
Cost Forecast / EAC,fi-eac,Earned Value & Forecasting,finance.budget_forecast_line_items,"project_id, company_id",N/A,N,budget_forecast_line_items.project_id = projects.project_id,"NOT READY. Sparse adoption. Most EAC done in Excel. Computed not stored."
Cash Flow Projection,fi-cashflow,Earned Value & Forecasting,"(computed from payments + invoices)",,N/A,N,"via payment/invoice tables","Not a native Procore feature. Computed from payment and invoice data. S-curve distribution typical."
