Category,Element,Description,Industry Standard,Common Values,Source Systems,Procore Coverage,Benchmarking Use,Notes
Building Vertical,Roof Level,"The top of the building including roof surface, mechanical penthouse, and rooftop equipment areas. Both an enclosure system (membrane, insulation, flashing) and a mechanical platform (RTUs, cooling towers, exhaust fans). Safety-critical for fall protection. Access logistics affect equipment replacement in operations. Children: Rooftop Zone (optional).","NRCA Roofing Manual; OSHA 1926.501 (Fall Protection); ASHRAE (rooftop equipment)","Main Roof, Low Roof, Mechanical Penthouse, Roof Terrace, Green Roof, Cooling Tower Platform","Procore; Revit; BIM 360; PlanGrid; Bluebeam; P6; roofing warranty systems",High — modeled as a floor level; roofing observations and equipment inspections attach here,Compare roofing defect rates and rooftop equipment cost per building SF,"Dual function — enclosure and mechanical platform. Fall protection observations are a leading safety signal. Level 2 in hierarchy."
"--- FLOOR DIVISION: zones and vertical elements within a floor ---",,,,,,,,
Floor Division,Zone / Wing,"A horizontal subdivision of a floor — used for phasing, scope separation, or building geometry. Project-specific designations defined by the team to organize work. A 50-story tower might define zones as quadrants per floor. A hospital might define zones as departments. Drives the 3-week lookahead schedule. Children: Room/Space, Area.","Project-specific; AIA A201 phasing; lean construction zone planning","North/South/East/West Wing, Zone A/B/C, Phase 1/2 Area, Tower vs. Podium, Department","Procore; Revit; BIM 360; PlanGrid; P6; lean scheduling tools",Medium — locations table supports zones but not all projects use this level; field records reference zones inconsistently,Compare defect density by zone type and phase completion rates,"Zones are project-specific — no universal standard. Level 3 in hierarchy."
Floor Division,Core / Shaft,"Vertical penetrations that run through multiple floors — stairs, elevators, mechanical shafts, duct risers. Unique vertical elements that span the building height. Firestopping at every floor penetration is a code requirement and a major quality/punch item generator. Elevator hoistways have specific inspection requirements. Spans multiple floors rather than sitting within one.","IBC Chapter 7 (fire-resistance-rated assemblies); NFPA 101 (shafts); ASME A17.1 (elevator hoistways)","Stair A/B, Elevator Shaft 1-4, Mechanical Shaft, Electrical Riser, Plumbing Riser, Duct Shaft","Procore; Revit; BIM 360; PlanGrid; Bluebeam; elevator inspection systems",Medium — can be modeled in locations but often not separated; firestopping observations track shaft-level issues,Compare firestopping deficiency rates per shaft count and stair completion rates,"Vertical elements that span multiple floors — unique in the hierarchy. Firestopping is one of the most inspected items. Level 3."
Floor Division,Ceiling Plenum,"The space between the finished ceiling and the structural deck above — where most MEP distribution occurs. The most contested space in a building — 5+ trades working in the same 18-36 inch space. Above-ceiling inspection before drywall/ceiling close is the most critical quality hold point. Healthcare interstitial spaces are full-height walk-through plenums.","IBC 717 (fire dampers in plenums); NFPA 90A (plenum-rated materials); ASHRAE (return air plenums)","Typical Ceiling Plenum (per floor/zone), Return Air Plenum, Interstitial Space (healthcare)","Procore; Revit; Navisworks; BIM 360; PlanGrid; Bluebeam",Low — not typically modeled as a separate location; coordination issues and observations reference plenums in free text,Compare above-ceiling deficiency rates per floor as a proxy for MEP coordination quality,"Above-ceiling inspection is the most critical quality hold point. Clash detection results often reference plenum space. Level 3 in hierarchy."
"--- ROOM & SPACE: individually identifiable enclosed spaces ---",,,,,,,,
Room & Space,Room / Space,"An individually identifiable enclosed space within a building — defined by walls, doors, and a room number. The unit of occupancy. Healthcare patient rooms may have 150+ punch items each. Hotel rooms are repetitive — one model room sets the standard. Room numbering convention varies by project. BIM models room data. Leaf node for most purposes.","OmniClass Table 13; COBie Space; ADA/ICC A117.1 (accessibility requirements per room type)","Office 301, Conference Room 205, Patient Room 412, Classroom 103, Hotel Room 1205, Apartment 8B, Lab 502","Procore; Revit; BIM 360; PlanGrid; Bluebeam; CMMS (Archibus/Maximo); room scheduling",Medium — locations table supports room-level but adoption decreases at this depth; punch items commonly reference rooms,Compare punch items per room type and finish quality defect rates across projects,"Room-level tracking requires BIM or disciplined naming. Rooms bridge construction and operations. Level 4 in hierarchy."
Room & Space,Functional Area,"A space defined by its function rather than enclosure — may span rooms or be part of a larger space. Functional areas have specific code requirements: mechanical rooms (ventilation, fire separation), electrical rooms (clearances, access), data rooms (cooling, power), kitchens (grease duct, hood suppression, health department). These drive inspections. Leaf node.","IBC Chapter 4 (special uses by function); NFPA 70 (electrical rooms); NFPA 96 (commercial kitchens)","Lobby, Corridor, Elevator Lobby, Mechanical Room, Electrical Room, IDF/MDF, Kitchen, Server Room, Mail Room","Procore; Revit; BIM 360; PlanGrid; Bluebeam; CMMS; health/safety inspection systems",Medium — supported in locations but requires disciplined setup; inspections reference functional areas,Compare deficiency rates by functional area type (mechanical rooms vs. corridors vs. kitchens),"Code-driven spaces with specific inspection requirements regardless of project type. Level 4 in hierarchy."
Room & Space,Wet Area,"Spaces with plumbing fixtures and waterproofing requirements — bathrooms, kitchens, janitor closets, mechanical rooms with floor drains. Waterproofing testing (shower pan flood tests, floor drain tests) required before finishes. Plumbing fixture rough-in must align with tile layout. ADA compliance heavily inspected in restrooms. Healthcare wet areas have infection control requirements. Leaf node.","IPC/UPC (plumbing codes); ADA/ICC A117.1 (accessible fixtures); ANSI A108 (tile installation)","Restroom M/F, Shower Room, Locker Room, Kitchen, Janitor Closet, Pool Area","Procore; Revit; BIM 360; PlanGrid; Bluebeam; plumbing inspection systems",Medium — tracked as rooms in locations; waterproofing observations and plumbing inspections reference wet areas,Compare waterproofing defect rates per wet area count and plumbing punch items per fixture,"Waterproofing failures in wet areas are a major rework driver. ADA compliance is a primary inspection focus. Level 4 in hierarchy."
"--- SUB-SPACE: granular locations within a room or space (BIM-driven) ---",,,,,,,,
Sub-Space,Wall / Surface,"An individual wall or surface within a room — identified by orientation or designation. Primarily BIM-driven and punch-item-driven. In high-volume environments (hotels, residential), tracking deficiencies by wall enables pattern analysis (e.g., north walls consistently have drywall cracking from thermal movement). Leaf node.","OmniClass Table 13; GA-216 (drywall finish levels); ASTM C840","North/South/East/West Wall, Column Line A, Soffit, Bulkhead","Revit; BIM 360; PlanGrid; Procore; Bluebeam",Low — not modeled in locations; punch items may reference walls in free text descriptions,Compare surface deficiency patterns by orientation and finish type across high-volume projects,"Wall-level tracking requires BIM integration. Most valuable in repetitive programs (hotels, residential, healthcare). Level 5+ in hierarchy."
Sub-Space,Equipment Location,"The specific location of a major piece of installed equipment — tracked for commissioning, maintenance, and warranty. Every major equipment piece gets a unique tag (AHU-1, CHL-1) that persists from design through 30+ years of operations. Equipment schedules link tag to location to specifications to O&M manuals. Bridges construction and operations. Leaf node.","ASHRAE Standard 202 (commissioning); COBie (equipment handover); NFPA 70 (equipment identification)","AHU-1 (Mech Room B1), Chiller-1 (Central Plant), Panel LP-3A (Elec Room L2), VAV-3-01 (Plenum L3)","Revit; BIM 360; Procore; CMMS (Maximo/Archibus); commissioning tools (CxAlloy)",Low — equipment not modeled as locations; commissioning records and O&M link equipment to spaces,Compare equipment commissioning defect rates and warranty claim rates by equipment type,"Equipment tags bridge construction and operations lifecycle. Critical for facility management handover. Level 5+ in hierarchy."
Sub-Space,Penetration / Opening,"A specific penetration through a fire-rated or smoke-rated assembly — tracked for firestopping compliance. Every penetration through a rated assembly must be firestopped per a UL-listed system. Tracking individual penetrations enables deficiency pattern analysis. Increasingly required by special inspection programs. One of the most inspected and most deficient items in construction. Leaf node.","IBC 714 (penetrations); UL 1479/UL 2079 (fire test standards); ASTM E814","Electrical conduit through 2-hr wall, Plumbing riser sleeve, Duct penetration at stair wall","Revit; Navisworks; BIM 360; Procore; Bluebeam; firestop inspection software",Low — not modeled as locations; firestopping observations and special inspections reference penetrations in description,Compare firestopping deficiency rates per penetration count and per rated assembly area,"Firestopping is one of the most inspected and most deficient items across all project types. Level 5+ in hierarchy."
"--- CROSS-CUTTING OVERLAYS: location concepts that span the physical hierarchy ---",,,,,,,,
Cross-Cutting Overlay,Fire / Smoke Compartment,"A code-defined area enclosed by fire-rated or smoke-rated construction — may span rooms or zones. A regulatory overlay on the physical layout that defines where fire barriers must be maintained, smoke dampers required, and rated doors installed. Healthcare smoke compartments drive corridor separation and are a primary inspection focus. Contains rooms/spaces within the compartment.","IBC Chapters 7 & 7A; NFPA 101 (Life Safety Code); NFPA 80 (fire doors); NFPA 105 (smoke doors)","Smoke Compartment A (L2 North), Fire Area 1, Fire Barrier at Grid 5, Horizontal Exit","Revit; BIM 360; Procore; Bluebeam; fire marshal inspection systems",Low — not modeled as locations; fire/life safety inspections and observations reference compartments,Compare fire barrier deficiency rates per compartment count and by building occupancy type,"Fire compartments are a regulatory overlay not a physical construction element. Cross-cutting — spans multiple hierarchy levels."
Cross-Cutting Overlay,Work Zone / Phase Area,"A temporary designation that defines where active construction work is occurring — shifts as the project progresses. Dynamic — moves weekly or daily. Safety zones (crane radius, excavation, hot work) have specific regulatory requirements. Healthcare occupied renovations require infection control risk assessment (ICRA) zones with negative pressure and barriers. Temporary overlay on any hierarchy level.","OSHA 1926 Subpart N (Cranes); OSHA 29 CFR 1926.352 (Hot Work); ICRA (healthcare)","Active Pour Zone, Steel Erection Zone, Tower Crane Radius, Hot Work Area, Dust Control Zone, ICRA Zone","Procore; site logistics software; P6; safety management platforms",Medium — daily logs and safety observations capture work zones; not modeled in location hierarchy,Compare work zone incident rates and phase completion variance across projects,"Work zones are dynamic and temporary — they don't persist in the location hierarchy. Healthcare ICRA zones are heavily regulated."
Cross-Cutting Overlay,Commissioning Zone,"A grouping of spaces for the purpose of systems commissioning — may align with HVAC zones, floors, or functional groups. Groups equipment and spaces tested together. May cross floor boundaries (a single AHU serving floors 1-5 creates one zone spanning 5 floor locations). Organized by mechanical system boundaries not physical construction.","ASHRAE Standard 202 (Commissioning); ASHRAE Guideline 0; LEED EAp1/EAc3","CxZone 1 (L1-L5 East), CxZone 2 (L1-L5 West), CxZone 3 (Penthouse Mech), CxZone 4 (Central Plant)","Commissioning tools (CxAlloy); Procore; BIM 360; Revit; BAS systems",Low — not modeled in locations; commissioning records may reference zones in free text,Compare commissioning defect rates per zone and functional test pass rates by system type,"Commissioning zones bridge location and system — organized by mechanical system boundaries. Cross-cutting."
Cross-Cutting Overlay,Grid Line Intersection,"A coordinate location defined by the intersection of structural grid lines — the universal reference system for locating anything in a building. Every drawing references grid lines. Survey and layout is done to grid lines. Equipment locations, column locations, and major building elements are described by grid intersection. The bridge between 2D drawings and 3D physical space. Reference point at all floors.","AIA A201 (drawing standards); structural grid conventions; survey control standards","Grid A/1, Grid B/3, Grid J/12, Column Line intersections","Revit; AutoCAD; Navisworks; survey instruments; Procore; PlanGrid; Bluebeam",Low — not explicitly modeled; drawings reference grid lines; observations and RFIs reference grids in free text,Grid-referenced data enables spatial density analysis (defects per grid bay) on BIM-enabled projects,"Grid lines are the universal coordinate system of construction. Cross-cutting — applies at all hierarchy levels."
"--- STANDARD MEASURES: KPIs derived from location hierarchy data ---",,,,,,,,
Standard Measures,Location Depth Utilization,"Measures how many levels of the location hierarchy a company uses in field records — from site-level only (depth 1) to room-level (depth 4+). Higher depth = more granular defect tracking. Calculation: max hierarchy depth with >10 records attached / total available levels. Source: field records linked to location hierarchy.",None — operational maturity metric,"Depth 1 (site only), Depth 2 (floor level), Depth 3 (zone level), Depth 4+ (room level)","Procore; PlanGrid; BIM 360",High — derived from location hierarchy and record attachment,Compare location tracking maturity across companies and project types,"Low depth often indicates location setup was incomplete not that the project was simple."
Standard Measures,Defect Density by Location Type,"Count of quality observations, punch items, and inspection deficiencies per location node — reveals where problems concentrate. Calculation: (observations + punch items + deficient inspections) / location count at each hierarchy level. Normalized per floor, per room, or per SF.","ISO 9001 (nonconformance tracking); Lean Construction (defect mapping)","5-15 punch items per room (typical), 20-50 per floor (commercial), 100+ per floor (healthcare)","Procore; PlanGrid; BIM 360; Bluebeam","High — observations, punch items, and inspections all reference location_id",Compare defect density by location type across project types and building uses,"Normalize by location count or area to enable cross-project comparison."
Standard Measures,Punch Items per Room,"Count of punch list items assigned to each room-level location — the primary closeout workload metric. Calculation: total punch items / total rooms. Segmented by room type for cross-project comparison. High-finish rooms (healthcare, hospitality) generate more punch items.","AIA/AGC best practices for punchlist management","3-8 per room (standard commercial), 10-20 per room (healthcare), 15-30 per room (hospitality)","Procore; PlanGrid; BIM 360; Bluebeam",High — punch items reference location_id; room-level location setup required,Compare closeout workload per room across building types and quality standards,"Requires room-level location setup. Projects without room locations can't benchmark at this level."
Standard Measures,Floor Completion Rate,"Percentage of punch items and observations closed per floor over time — tracks vertical closeout progress. Calculation: closed_items / total_items per floor measured weekly. Reveals which floors are lagging and whether closeout follows a logical sequence (top-down or bottom-up).",Lean Construction (last planner system); AIA closeout procedures,"0-100% per floor; typical closeout velocity 1-2 floors per week","Procore; PlanGrid; BIM 360",High — derived from punch items and observations with floor-level locations,Compare closeout velocity (floors per week) across similar building types,"Requires floor-level location setup. Sequence analysis reveals whether closeout follows schedule logic."
Standard Measures,Location Coverage Rate,"Percentage of defined locations that have at least one quality record (observation, inspection, or punch item) attached — measures inspection thoroughness. Calculation: locations_with_records / total_defined_locations. Low coverage suggests incomplete inspections.","ISO 19011 (audit sampling); quality management sampling standards","60-80% typical; 90%+ for commissioning; <50% suggests gaps","Procore; PlanGrid; BIM 360",High — derived from location hierarchy and record attachment,Compare inspection thoroughness across projects and companies,"Meaningful only when location hierarchy is fully set up. Low coverage is an actionable signal for quality managers."
Standard Measures,Safety Incident Density by Zone,"Count of safety observations and incidents per work zone or floor — identifies high-risk areas. Calculation: safety_observations / active_work_zones. Tracks whether safety issues cluster in specific areas (elevated work, confined spaces, active excavation).","OSHA recordkeeping; ANSI Z10 (OHS Management); site-specific safety plans","0-5 per zone per week (typical); >10 indicates elevated risk area","Procore; safety management platforms; P6; daily log systems",Medium — safety observations reference location_id but work zones are captured in free text,Compare safety observation density by location type and work phase,"Cross-domain with Safety. Location-based safety analysis requires location_id on safety observations."
Standard Measures,Firestopping Deficiency Rate,"Percentage of inspected penetrations with firestopping deficiencies — a top quality metric for multi-story buildings. Calculation: deficient_penetrations / inspected_penetrations. Segmented by shaft type, rated assembly type, and floor. One of the most inspected items in construction.","IBC 714; UL 1479/UL 2079; special inspection requirements","5-15% first-pass deficiency rate (typical); <5% indicates strong quality program","Procore; firestop inspection software; Bluebeam; special inspection reports",Medium — observations and inspections capture firestopping issues but penetration-level tracking requires BIM,Compare firestopping deficiency rates across building types and inspection programs,"Cross-domain with Building Elements (firestopping) and Quality (inspection deficiency). Highly regulated."
