System,Resource Type,Resource Name,Involvement,Notes
Structural Frame,Trade,Ironworker / Steel Erector,Primary,"Steel erection, bolting, welding, rebar"
Structural Frame,Trade,Concrete Worker,Primary,"Concrete placement, deck topping, stairs"
Structural Frame,Trade,Carpenter,Supporting,"Concrete formwork, shoring"
Structural Frame,Trade,Equipment Operator,Primary,"Crane operation"
Structural Frame,Trade,Surveyor / Layout,Supporting,"Column layout, elevation verification"
Structural Frame,Equipment,Tower Crane,Primary,"Primary lifting for steel and materials"
Structural Frame,Equipment,Mobile Crane,Primary,"Steel erection, heavy picks"
Structural Frame,Equipment,Concrete Pump,Primary,"Elevated slab pours"
Structural Frame,Equipment,Personnel / Material Hoist,Supporting,"Begins during structure for worker access"
Structural Frame,Equipment,Welding Equipment,Primary,"Steel connections"
Structural Frame,Material,Structural Steel & Misc Metals,Primary,"Wide flange, HSS, connections, deck"
Structural Frame,Material,Concrete (ready-mix & precast),Primary,"Elevated slabs, topping, precast elements"
Structural Frame,Material,Rebar & Reinforcing,Primary,"Slab and beam reinforcing"
Exterior Enclosure,Trade,Glazier / Curtain Wall Installer,Primary,"Curtain wall, windows, storefronts"
Exterior Enclosure,Trade,Mason,Primary,"Masonry veneer, backup walls"
Exterior Enclosure,Trade,Ironworker / Steel Erector,Supporting,"Shelf angles, embeds, panel erection supports"
Exterior Enclosure,Trade,General Laborer,Supporting,"Air barrier, insulation installation"
Exterior Enclosure,Trade,Painter,Supporting,"Exterior coatings, sealants"
Exterior Enclosure,Equipment,Tower Crane,Primary,"Panel and curtain wall unit setting"
Exterior Enclosure,Equipment,Aerial Lift,Primary,"High-reach exterior work"
Exterior Enclosure,Equipment,Scaffolding,Primary,"Masonry, window, and sealant access"
Exterior Enclosure,Equipment,Personnel / Material Hoist,Supporting,"Material delivery to upper floors"
Exterior Enclosure,Material,Glass Glazing & Curtain Wall,Primary,"IGUs, aluminum framing, gaskets"
Exterior Enclosure,Material,Masonry,Primary,"Brick, CMU, stone, mortar, ties"
Exterior Enclosure,Material,Waterproofing & Sealants,Primary,"Air barrier, sealants, flashing"
Exterior Enclosure,Material,Drywall Framing & Insulation,Supporting,"Exterior sheathing, insulation"
Roofing,Trade,Roofer,Primary,"Membrane, insulation, flashing, sheet metal"
Roofing,Trade,General Laborer,Supporting,"Material handling, cleanup"
Roofing,Trade,Plumber / Pipefitter,Supporting,"Roof drain bodies and conductor connections"
Roofing,Equipment,Mobile Crane,Supporting,"Material hoisting to roof"
Roofing,Equipment,Personnel / Material Hoist,Supporting,"Material delivery"
Roofing,Material,Roofing Materials,Primary,"Membrane, insulation, cover board, fasteners"
Roofing,Material,Waterproofing & Sealants,Supporting,"Flashing sealants, pitch pockets"
HVAC,Trade,HVAC / Sheet Metal Worker,Primary,"Ductwork, piping, equipment, insulation"
HVAC,Trade,Plumber / Pipefitter,Supporting,"HVAC piping (chilled/hot water)"
HVAC,Trade,Electrician,Supporting,"Equipment power connections, VFDs"
HVAC,Trade,Low Voltage Technician,Supporting,"Controls wiring, BAS devices"
HVAC,Equipment,Aerial Lift,Primary,"Overhead duct and pipe installation"
HVAC,Equipment,Forklift / Telehandler,Supporting,"Equipment and material handling"
HVAC,Equipment,Mobile Crane,Supporting,"Major equipment setting (RTUs, chillers)"
HVAC,Material,Ductwork & HVAC Materials,Primary,"Sheet metal, flex, fittings, dampers, diffusers"
HVAC,Material,Piping & Plumbing Materials,Supporting,"Chilled/hot water piping, insulation"
Plumbing,Trade,Plumber / Pipefitter,Primary,"All plumbing piping and fixtures"
Plumbing,Trade,General Laborer,Supporting,"Coring, trenching, material handling"
Plumbing,Equipment,Aerial Lift,Supporting,"Overhead piping installation"
Plumbing,Equipment,Forklift / Telehandler,Supporting,"Material handling"
Plumbing,Material,Piping & Plumbing Materials,Primary,"Copper, PVC, cast iron, fittings, valves"
Plumbing,Material,Plumbing Fixtures,Primary,"Toilets, sinks, faucets, carriers"
Electrical,Trade,Electrician,Primary,"All electrical installation"
Electrical,Trade,General Laborer,Supporting,"Coring, material handling"
Electrical,Equipment,Aerial Lift,Primary,"Overhead conduit, cable tray, lighting"
Electrical,Equipment,Forklift / Telehandler,Supporting,"Panel and equipment handling"
Electrical,Material,Electrical Wire Conduit & Equipment,Primary,"Wire, conduit, panels, switchgear, transformers"
Electrical,Material,Lighting,Primary,"Fixtures, controls, emergency lighting"
Fire Protection,Trade,Sprinkler Fitter,Primary,"All sprinkler piping and devices"
Fire Protection,Trade,Electrician,Supporting,"Fire alarm devices, fire pump power"
Fire Protection,Trade,Low Voltage Technician,Supporting,"Fire alarm wiring and programming"
Fire Protection,Equipment,Aerial Lift,Supporting,"Overhead sprinkler installation"
Fire Protection,Material,Fire Protection Materials,Primary,"Pipe, fittings, heads, FDC, alarm devices"
Low Voltage & Technology,Trade,Low Voltage Technician,Primary,"Data, security, AV, BAS devices"
Low Voltage & Technology,Trade,Electrician,Supporting,"Conduit, power for devices"
Low Voltage & Technology,Equipment,Aerial Lift,Supporting,"Overhead cable tray and device installation"
Low Voltage & Technology,Material,Low Voltage Cable & Devices,Primary,"Cat6, fiber, cameras, card readers, AV"
Interiors,Trade,Drywall Hanger / Finisher,Primary,"Framing, drywall, taping, finishing"
Interiors,Trade,Carpenter,Primary,"Doors, frames, hardware, casework, trim"
Interiors,Trade,Painter,Primary,"Paint, wallcovering, coatings"
Interiors,Trade,Floor Installer,Primary,"Tile, carpet, resilient, specialty flooring"
Interiors,Trade,Ceiling Installer,Primary,"Acoustic ceilings, grid, tile"
Interiors,Trade,General Laborer,Supporting,"Cleanup, protection, material movement"
Interiors,Equipment,Aerial Lift,Supporting,"High ceiling work"
Interiors,Equipment,Scaffolding,Supporting,"Lobby, atrium, high spaces"
Interiors,Equipment,Forklift / Telehandler,Supporting,"Material staging and delivery"
Interiors,Material,Drywall Framing & Insulation,Primary,"Metal studs, gypsum board, insulation"
Interiors,Material,Doors Frames & Hardware,Primary,"Door slabs, frames, finish hardware"
Interiors,Material,Paint & Coatings,Primary,"Paint, primer, stain"
Interiors,Material,Flooring,Primary,"Tile, carpet, LVT, VCT, stone"
Interiors,Material,Ceiling Materials,Primary,"Grid, acoustic tile, suspension"
Interiors,Material,Casework & Millwork,Primary,"Cabinets, countertops, trim"
Elevators,Trade,Elevator Mechanic,Primary,"All elevator installation"
Elevators,Trade,Electrician,Supporting,"Elevator power feed, machine room"
Elevators,Trade,Carpenter,Supporting,"Hoistway protection, cab finish framing"
Elevators,Equipment,Mobile Crane,Supporting,"Machine and car setting"
Elevators,Material,Elevator components,Primary,"Car, doors, machine, controller, rails — typically proprietary; not in Procore materials"
Site Improvements,Trade,Equipment Operator,Primary,"Paving, grading, compaction"
Site Improvements,Trade,Concrete Worker,Primary,"Sidewalks, curbs, paving"
Site Improvements,Trade,General Laborer,Primary,"Landscaping, fencing, cleanup"
Site Improvements,Trade,Electrician,Supporting,"Site lighting, EV charging"
Site Improvements,Equipment,Loader / Backhoe,Primary,"Final grading, material handling"
Site Improvements,Equipment,Compactor,Primary,"Subbase compaction for paving"
Site Improvements,Material,Concrete (ready-mix & precast),Supporting,"Sidewalks, curbs, concrete paving"
